Film,Year,Script Type,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genre,Opening Weekend,Opening weekend ($million),Domestic Gross,Domestic gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), of Gross earned abroad,Budget ($million), Budget recovered, Budget recovered opening weekend,Oscar Winners,Oscar Detail,Link,None,Distributor,IMDb Rating,IMDB vs RT disparity,Release Date (US)
Dance Flick ,2009,original screenplay,17,40,29,35,46,-11,41,-12,,"action, comedy, music",10600000,10.60,25660000,25.66,5.77,5770000,31430000,31.43,18.36%,25,125.72%,42.40%,,,http://www.amazon.com/gp/product/B002LWKRNA/?tag=titb-20,1,,,,"May 22, 2009"
Taken ,2009,original screenplay,58,50,54,83,77,6,80,-26,,"action, crime, thriller",24700000,24.70,145000000,145.00,81.8,81800000,226800000,226.8,36.07%,25,907.20%,98.80%,,,http://www.amazon.com/gp/product/B004F1F32A/?tag=titb-20,1,,,,"Jan 30, 2009"
Zombieland ,2009,original screenplay,90,73,82,87,81,6,84,-3,,"comedy, horror",24700000,24.70,75590000,75.59,26.8,26800000,102390000,102.39,26.17%,23.6,433.86%,104.66%,,,http://www.amazon.com/gp/product/B0030B624E/?tag=titb-20,1,,,,"Oct 2, 2009"
The Informant! ,2009,adaptation,78,66,72,42,59,-17,51,22,,"comedy, crime",10500000,10.50,33310000,33.31,8.45,8450000,41760000,41.76,20.23%,22,189.82%,47.73%,,,http://www.amazon.com/gp/product/B00319KS7C/?tag=titb-20,1,,,,"Sep 18, 2009"
Away We Go ,2009,original screenplay,67,58,63,74,67,7,71,-8,,"comedy, romance",130000,0.13,9450000,9.45,5.44,5440000,14890000,14.89,36.53%,21,70.90%,0.62%,,,http://www.amazon.com/gp/product/B002L2Q1SA/?tag=titb-20,1,,,,"June 5, 2009"
Everybody's Fine ,2009,remake / reboot,46,47,47,55,73,-18,64,-18,,adventure ,3900000,3.90,9200000,9.20,7.2,7200000,16400000,16.4,43.90%,21,78.10%,18.57%,,,http://www.amazon.com/gp/product/B009RI42I2/?tag=titb-20,1,,,,"Dec 4, 2009"
Notorious,2009,based on a true story,50,60,55,66,54,12,60,-5,,"biography, music",20500000,20.50,36840000,36.84,7.52,7520000,44360000,44.36,16.95%,20,221.80%,102.50%,,,http://www.amazon.com/gp/product/B002AKFFVM/?tag=titb-20,1,,,,"Jan 16, 2009"
12 Rounds ,2009,original screenplay,30,38,34,52,49,3,51,-17,,"action, crime, thriller",5300000,5.30,12230000,12.23,5.05,5050000,17280000,17.28,29.22%,20,86.40%,26.50%,,,http://www.amazon.com/gp/product/B009EDUD3I/?tag=titb-20,1,,,,"Mar 27, 2009"
17 Again ,2009,original screenplay,55,48,52,70,60,10,65,-14,,"comedy, romance",23700000,23.70,64200000,64.20,72.1,72100000,136300000,136.3,52.90%,20,681.50%,118.50%,,,http://www.amazon.com/gp/product/B0091WAKL2/?tag=titb-20,1,,,,"Apr 17, 2009"
Armored ,2009,original screenplay,40,50,45,34,54,-20,44,1,,"action, crime, thriller",6500000,6.50,15990000,15.99,6.95,6950000,16000000,16,43.44%,20,80.00%,32.50%,,,http://www.amazon.com/gp/product/B003883XU0/?tag=titb-20,1,,,,"Dec 4, 2009"
Bandslam ,2009,original screenplay,79,66,73,60,69,-9,65,8,,"comedy, family, music",2200000,2.20,5200000,5.20,7.01,7010000,12100000,12.1,57.93%,20,60.50%,11.00%,,,http://www.amazon.com/gp/product/B0035GNSQ4/?tag=titb-20,1,,,,"Aug 14, 2009"
Fired Up! ,2009,original screenplay,22,31,27,52,58,-6,55,-29,,comedy,5500000,5.50,17200000,17.20,1.37,1370000,18600000,18.6,7.37%,20,93.00%,27.50%,,,http://www.amazon.com/gp/product/B0090QI22I/?tag=titb-20,1,,,,"Feb 20, 2009"
Obsessed ,2009,original screenplay,20,25,23,50,53,-3,52,-29,,thriller,28600000,28.60,68260000,68.26,5.56,5560000,73820000,73.82,7.53%,20,369.10%,143.00%,,,http://www.amazon.com/gp/product/B002KCYIEA/?tag=titb-20,1,,,,"April 24, 2009"
The Stepfather,2009,remake / reboot,12,33,23,48,57,-9,53,-30,,"crime, mystery",11600000,11.60,29100000,29.10,2.13,2130000,31200000,31.2,6.83%,20,156.00%,58.00%,,,http://www.amazon.com/gp/product/B009RMZ2Z0/?tag=titb-20,1,,,,"Oct 16, 2009"
The Uninvited ,2009,remake / reboot,31,43,37,52,63,-11,58,-21,,"horror, mystery",10300000,10.30,28600000,28.60,13.03,13030000,42700000,42.7,30.52%,20,213.50%,51.50%,,,http://www.amazon.com/gp/product/B0026OFZZI/?tag=titb-20,1,,,,"Jan 30, 2009"
Friday the 13th,2009,remake / reboot,25,34,30,52,62,-10,57,-28,,horror,40600000,40.60,65000000,65.00,26.4,26400000,91400000,91.4,28.88%,19,481.05%,213.68%,,,http://www.amazon.com/gp/product/B002BCJZ60/?tag=titb-20,1,,,,"Feb 13, 2009"
The Invention of Lying ,2009,original screenplay,56,58,57,47,58,-11,53,5,,"comedy, fantasy, romance",7000000,7.00,18450000,18.45,13.95,13950000,32400000,32.4,43.06%,18.5,175.14%,37.84%,,,http://www.amazon.com/gp/product/B002ZKOVR6/?tag=titb-20,1,,,,"Oct 2, 2009"
I Love You Beth Cooper ,2009,adaptation,14,32,23,38,49,-11,44,-21,,"comedy, romance",4900000,4.90,14800000,14.80,1.02,1020000,15820000,15.82,6.45%,18,87.89%,27.22%,,,http://www.amazon.com/gp/product/B002VDI1TQ/?tag=titb-20,1,,,,"Jul 10, 2009"
Love Happens ,2009,original screenplay,18,33,26,40,55,-15,48,-22,,romance,8050000,8.05,22960000,22.96,13.12,13120000,36080000,36.08,36.36%,18,200.44%,44.72%,,,http://www.amazon.com/gp/product/B0030B0S7Q/?tag=titb-20,1,,,,"Sep 18, 2009"
Observe and Report ,2009,original screenplay,51,54,53,40,59,-19,50,3,,"comedy, crime",11000000,11.00,24000000,24.00,2.96,2960000,26960000,26.96,10.98%,18,149.78%,61.11%,,,http://www.amazon.com/gp/product/B002LATBAM/?tag=titb-20,1,,,,"Apr 10, 2009"
Fame,2009,remake / reboot,25,39,32,43,41,2,42,-10,,"comedy, musical",10000000,10.00,22460000,22.46,54.76,54760000,77210000,77.21,70.92%,18,428.94%,55.56%,,,http://www.amazon.com/gp/product/B002ZCAB96/?tag=titb-20,1,,,,"Sep 25, 2009"
My Life in Ruins ,2009,original screenplay,9,34,22,43,67,-24,55,-34,,"comedy, romance",3200000,3.20,8670000,8.67,11.79,11790000,18010000,18.01,65.46%,17,105.94%,18.82%,,,http://www.amazon.com/gp/product/B009EEJKV8/?tag=titb-20,1,,,,"Jun 5, 2009"
Jennifer's Body ,2009,original screenplay,42,47,45,37,55,-18,46,-2,,"comedy, horror",6900000,6.90,16200000,16.20,15.35,15350000,31550000,31.55,48.65%,16,197.19%,43.13%,,,http://www.amazon.com/gp/product/B005F2BC28/?tag=titb-20,1,,,,"Sep 18, 2009"
The Unborn,2009,original screenplay,11,30,21,39,52,-13,46,-25,,"horror, mystery, thriller",19800000,19.80,42670000,42.67,33.84,33840000,76510000,76.51,44.23%,16,478.19%,123.75%,,,http://www.amazon.com/gp/product/B002KGDDUQ/?tag=titb-20,1,,,,"Jan 9, 2009"
Whip It ,2009,adaptation,84,68,76,73,69,4,71,5,,sport,4700000,4.70,13000000,13.00,3.59,3590000,16000000,16,22.44%,15,106.67%,31.33%,,,http://www.amazon.com/gp/product/B003413LI0/?tag=titb-20,1,,,,"Oct 2, 2009"
All About Steve ,2009,original screenplay,6,17,12,35,41,-6,38,-27,,comedy,11200000,11.20,33860000,33.86,6.26,6260000,40120000,40.12,15.60%,15,267.47%,74.67%,,,http://www.amazon.com/gp/product/B0031PXFQC/?tag=titb-20,1,,,,"Sep 4, 2009"
Post Grad ,2009,original screenplay,7,35,21,31,66,-35,49,-28,,"comedy, romance",2600000,2.60,6380000,6.38,0.03,30000,6380000,6.38,0.47%,15,42.53%,17.33%,,,http://www.amazon.com/gp/product/B0033VQAIY/?tag=titb-20,1,,,,"Aug 21, 2009"
Whatever Works ,2009,original screenplay,50,45,48,63,63,0,63,-16,,"comedy, romance",260000,0.26,5300000,5.30,29.79,29790000,35090000,35.09,84.90%,15,233.93%,1.73%,,,http://www.amazon.com/gp/product/B002OQWUME/?tag=titb-20,1,,,,"Jun 19, 2009"
Halloween II (2009),2009,sequel,20,50,35,45,56,-11,51,-16,,horror,16300000,16.30,33390000,33.39,6.02,6020000,39410000,39.41,15.28%,15,262.73%,108.67%,,,http://www.amazon.com/gp/product/B0033YIOXA/?tag=titb-20,1,,,,"Aug 28, 2009"
A Perfect Getaway ,2009,original screenplay,61,63,62,50,63,-13,57,6,,"adventure, mystery, thriller",5900000,5.90,15500000,15.50,7.33,7330000,22830000,22.83,32.11%,14,163.07%,42.14%,,,http://www.amazon.com/gp/product/B002VE5472/?tag=titb-20,1,,,,"Aug 7, 2009"
My Bloody Valentine 3-D ,2009,remake / reboot,57,51,54,48,73,-25,61,-7,,"horror, thriller",21200000,21.20,51540000,51.54,49.19,49190000,100730000,100.73,48.83%,14,719.50%,151.43%,,,http://www.amazon.com/gp/product/B002DJU02E/?tag=titb-20,1,,,,"Jan 16, 2009"
Crank: High Voltage ,2009,sequel,62,41,52,54,68,-14,61,-10,,"action, crime, thriller",7000000,7.00,13700000,13.70,20.8,20800000,34500000,34.5,60.29%,12.9,267.44%,54.26%,,,http://www.amazon.com/gp/product/B008Y6Y2YM/?tag=titb-20,1,,,,"Apr 17, 2009"
Gamer ,2009,original screenplay,29,27,28,43,54,-11,49,-21,,"action, sci-fi, thriller",9150000,9.15,20530000,20.53,20.29,20290000,40820000,40.82,49.71%,12.5,326.56%,73.20%,,,http://www.amazon.com/gp/product/B002Z8L5ZE/?tag=titb-20,1,,,,"Sep 4, 2009"
Sorority Row ,2009,remake / reboot,22,24,23,38,57,-19,48,-25,,"horror, thriller",5100000,5.10,11970000,11.97,15.24,15240000,27210000,27.21,56.01%,12.5,217.68%,40.80%,,,http://www.amazon.com/gp/product/B0035GP3OE/?tag=titb-20,1,,,,"Sep 11, 2009"
Saw VI ,2009,sequel,40,30,35,67,64,3,66,-31,,"horror, mystery",14100000,14.10,27690000,27.69,40.5,40500000,68190000,68.19,59.39%,11,619.91%,128.18%,,,http://www.amazon.com/gp/product/B00OSQ7QSQ/?tag=titb-20,1,,,,"Oct 23, 2009"
The Fourth Kind ,2009,based on a true story,18,34,26,44,57,-13,51,-25,,"mystery, sci-fi, thriller",12200000,12.20,25480000,25.48,22.22,22220000,47700000,47.7,46.58%,10,477.00%,122.00%,,,http://www.amazon.com/gp/product/B0036EJEY0/?tag=titb-20,1,,,,"Nov 6, 2009"
Adventureland ,2009,original screenplay,89,76,83,56,69,-13,63,20,,"comedy, romance",5700000,5.70,16040000,16.04,1.12,1120000,17160000,17.16,6.53%,9.8,175.10%,58.16%,,,http://www.amazon.com/gp/product/B008Y76VW2/?tag=titb-20,1,,,,"Apr 3, 2009"
An Education,2009,adaptation,94,85,90,78,79,-1,79,11,,drama ,760000,0.76,12570000,12.57,13.52,13520000,26090000,26.09,51.82%,7.5,347.87%,10.13%,,,http://www.amazon.com/gp/product/B003EJ41KO/?tag=titb-20,1,,,,"Oct 9, 2009"
(500) Days of Summer ,2009,original screenplay,87,76,82,81,79,2,80,2,,"comedy, romance",3800000,3.80,32390000,32.39,28.33,28330000,60720000,60.72,46.66%,7.5,809.60%,50.67%,,,http://www.amazon.com/gp/product/B0031Q0XCA/?tag=titb-20,1,,,,"Aug 7, 2009"
Extract ,2009,original screenplay,62,61,62,37,60,-23,49,13,,"comedy, crime, romance",4300000,4.30,10800000,10.80,0.03,30000,10830000,10.83,0.28%,7.5,144.40%,57.33%,,,http://www.amazon.com/gp/product/B008Y6U6JM/?tag=titb-20,1,,,,"Sep 4, 2009"
A Serious Man ,2009,original screenplay,89,79,84,64,66,-2,65,19,,comedy,250000,0.25,9230000,9.23,22.2,22200000,31430000,31.43,70.63%,7,449.00%,3.57%,,,http://www.amazon.com/gp/product/B00336C3EY/?tag=titb-20,1,,,,"Oct 2, 2009"
Not Easily Broken ,2009,adaptation,34,43,39,66,58,8,62,-24,,romance,5300000,5.30,10600000,10.60,0.14,140000,10700000,10.7,1.31%,5,214.00%,106.00%,,,http://www.amazon.com/gp/product/B002AS6IAG/?tag=titb-20,1,,,,"Jan 9, 2009"
Sunshine Cleaning ,2009,original screenplay,72,61,67,59,64,-5,62,5,,comedy,900000,0.90,12060000,12.06,4.51,4510000,16570000,16.57,27.22%,5,331.40%,18.00%,,,http://www.amazon.com/gp/product/B005K1P8EM/?tag=titb-20,1,,,,"Mar 13, 2009"
Next Day Air ,2009,original screenplay,21,46,34,27,62,-35,45,-11,,"action, comedy, crime",4100000,4.10,10000000,10.00,0.15,150000,10000000,10,1.50%,3,333.33%,136.67%,,,http://www.amazon.com/gp/product/B002LFIGYY/?tag=titb-20,1,,,,"May 8, 2009"
Paranormal Activity ,2009,original screenplay,82,68,75,56,57,-1,57,19,,"horror, mystery",19600000,19.60,107920000,107.92,85.44,85440000,193360000,193.36,44.19%,0.015,1289066.67%,130666.67%,,,http://www.amazon.com/gp/product/B003204MQS/?tag=titb-20,1,,,,"Sep 25, 2009"
