Film,Year,Script Type,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genre,Opening Weekend,Opening weekend ($million),Domestic Gross,Domestic gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), of Gross earned abroad,Budget ($million), Budget recovered, Budget recovered opening weekend,Oscar Winners,Oscar Detail,Link,None,Distributor,IMDb Rating,IMDB vs RT disparity,Release Date (US)
Piranha 3-D,2010,remake / reboot,74,53,64,45,57,-12,51,13,,"comedy, horror",10100000,10.10,25000000,25.00,58.19,58190000,"83,190,000",83.19,69.95%,24,346.63%,42.08%,,,http://www.amazon.com/gp/product/B004HGWYX4/?tag=titb-20,1,,,,"Aug 20, 2010"
Stone,2010,original screenplay,49,58,54,20,63,-43,42,12,,thriller,75000,0.08,1810000,1.81,7.67,7670000,"9,480,000",9.48,80.91%,22,43.09%,0.34%,,,http://www.amazon.com/gp/product/B004JMGOO6/?tag=titb-20,1,,,,"Oct 8, 2010"
You Will Meet a Tall Dark Stranger,2010,original screenplay,43,51,47,35,66,-31,51,-4,,"comedy, romance",160000,0.16,3240000,3.24,31.03,31030000,"34,270,000",34.27,90.55%,22,155.77%,0.73%,,,http://www.amazon.com/gp/product/B004SFOIJC/?tag=titb-20,1,,,,"Sep 22, 2010"
For Colored Girls,2010,adaptation,33,50,42,73,66,7,70,-28,,drama,19500000,19.50,37730000,37.73,17.32,17320000,"55,050,000",55.05,31.46%,21,262.14%,92.86%,,,http://www.amazon.com/gp/product/B004MPJVMM/?tag=titb-20,1,,,,"Nov 5, 2010"
Death at a Funeral,2010,remake / reboot,40,51,46,48,51,-3,50,-4,,comedy,16200000,16.20,42740000,42.74,6.31,6310000,"49,050,000",49.05,12.86%,21,233.57%,77.14%,,,http://www.amazon.com/gp/product/B0016LTNL4/?tag=titb-20,1,,,,"Apr 16, 2010"
The American,2010,adaptation,66,61,64,37,60,-23,49,15,,"crime, thriller",13100000,13.10,35610000,35.61,32.27,32270000,"67,880,000",67.88,47.54%,20,339.40%,65.50%,,,http://www.amazon.com/gp/product/B004B8DH98/?tag=titb-20,1,,,,"September 1, 2010"
The Last Song,2010,adaptation,19,33,26,66,45,21,56,-30,,romance,16000000,16.00,62950000,62.95,26.09,26090000,"89,040,000",89.04,29.30%,20,445.20%,80.00%,,,http://www.amazon.com/gp/product/B003ZUTS5A/?tag=titb-20,1,,,,"Mar 31, 2010"
Alpha and Omega,2010,original screenplay,17,36,27,41,53,-12,47,-21,,"animation, adventure, comedy",9100000,9.10,25110000,25.11,25.4,25400000,"50,510,000",50.51,50.29%,20,252.55%,45.50%,,,http://www.amazon.com/gp/product/B0094JO4DM/?tag=titb-20,1,,,,"Sep 17, 2010"
Daybreakers	,2010,original screenplay,67,57,62,50,60,-10,55,7,,"action, horror",15100000,15.10,30100000,30.10,21.31,21310000,"51,410,000",51.41,41.45%,20,257.05%,75.50%,,,http://www.amazon.com/gp/product/B003H54E20/?tag=titb-20,1,,,,"Jan 8, 2010"
Machete,2010,original screenplay,73,60,67,66,67,-1,67,0,,"action, crime, thriller",11000000,11.00,26590000,26.59,17.5,17500000,"44,090,000",44.09,39.69%,20,220.45%,55.00%,,,http://www.amazon.com/gp/product/B009EEGSDG/?tag=titb-20,1,,,,"Sep 3, 2010"
She's Out of My League,2010,original screenplay,57,46,52,60,68,-8,64,-13,,"comedy, romance",9800000,9.80,32010000,32.01,17.77,17770000,"49,780,000",49.78,35.70%,20,248.90%,49.00%,,,http://www.amazon.com/gp/product/B003TJMWAA/?tag=titb-20,1,,,,"Mar 12, 2010"
Vampires Suck,2010,original screenplay,4,18,11,32,33,-1,33,-22,,comedy,12200000,12.20,36660000,36.66,43.89,43890000,"80,550,000",80.55,54.49%,20,402.75%,61.00%,,,http://www.amazon.com/gp/product/B004EDQ698/?tag=titb-20,1,,,,"Aug 18, 2010"
You Again,2010,original screenplay,18,28,23,45,53,-8,49,-26,,"comedy, romance",8400000,8.40,25700000,25.70,6.3,6300000,"32,000,000",32.00,19.69%,20,160.00%,42.00%,,,http://www.amazon.com/gp/product/B004KPUMAY/?tag=titb-20,1,,,,"Sep 24, 2010"
The Crazies,2010,remake / reboot,72,55,64,54,70,-16,62,2,,"horror, mystery, thriller",16070000,16.07,39120000,39.12,15.68,15680000,"54,800,000",54.80,28.61%,20,274.00%,80.35%,,,http://www.amazon.com/gp/product/B003VMZPFO/?tag=titb-20,1,,,,"February 26, 2010"
Jackass 3-D,2010,sequel,63,56,60,72,74,-2,73,-14,,"documentary, action, comedy",50400000,50.40,117230000,117.23,54.46,54460000,"171,690,000",171.69,31.72%,20,858.45%,252.00%,,,http://www.amazon.com/gp/product/B004R0YIRU/?tag=titb-20,1,,,,"Oct 15, 2010"
Saw 3-D,2010,sequel,10,24,17,47,54,-7,51,-34,,"crime, horror",22530000,22.53,45710000,45.71,90.44,90440000,"136,150,000",136.15,66.43%,20,680.75%,112.65%,,,http://www.amazon.com/gp/product/B004I7IPL2/?tag=titb-20,1,,,,"Oct 29, 2010"
Why Did I Get Married Too?,2010,sequel,27,43,35,67,65,2,66,-31,,"comedy, romance",29300000,29.30,60090000,60.09,0.58,580000,"60,670,000",60.67,0.96%,20,303.35%,146.50%,,,http://www.amazon.com/gp/product/B003W4TPBG/?tag=titb-20,1,,,,"Apr 2, 2010"
The Switch,2010,adaptation,52,52,52,44,62,-18,53,-1,,"comedy, romance",8400000,8.40,27780000,27.78,22.05,22050000,"49,830,000",49.83,44.25%,19,262.26%,44.21%,,,http://www.amazon.com/gp/product/B0091VXC54/?tag=titb-20,1,,,,"Aug 20, 2010"
Leap Year,2010,original screenplay,21,33,27,49,54,-5,52,-25,,"comedy, romance",9200000,9.20,25920000,25.92,6.69,6690000,"32,610,000",32.61,20.52%,19,171.63%,48.42%,,,http://www.amazon.com/gp/product/B003EUCNA8/?tag=titb-20,1,,,,"Jan 8, 2010"
127 Hours,2010,adaptation,93,82,88,84,79,5,82,6,,"adventure, biography",2130000,2.13,18330000,18.33,42.4,42400000,"60,730,000",60.73,69.82%,18,337.39%,11.83%,,,http://www.amazon.com/gp/product/B004Q3SGWG/?tag=titb-20,1,,,,"Nov 5, 2010"
Youth in Revolt,2010,original screenplay,68,63,66,52,66,-14,59,7,,"comedy, romance",6900000,6.90,15280000,15.28,4.37,4370000,"19,650,000",19.65,22.24%,18,109.17%,38.33%,,,http://www.amazon.com/gp/product/B003N0Y9WO/?tag=titb-20,1,,,,"Jan 8, 2010"
Brooklyn's Finest,2010,original screenplay,42,43,43,47,54,-7,51,-8,,"crime, thriller",13400000,13.40,27160000,27.16,9.28,9280000,"36,440,000",36.44,25.47%,17,214.35%,78.82%,,,http://www.amazon.com/gp/product/B003VMUE7I/?tag=titb-20,1,,,,"Mar 5, 2010"
Remember Me,2010,original screenplay,28,40,34,70,80,-10,75,-41,,romance,8000000,8.00,19070000,19.07,36.96,36960000,"56,030,000",56.03,65.96%,16,350.19%,50.00%,,,http://www.amazon.com/gp/product/B003JHB7WG/?tag=titb-20,1,,,,"Mar 12, 2010"
Diary of a Wimpy Kid,2010,adaptation,53,56,55,49,66,-17,58,-3,,"comedy, family",22100000,22.10,64000000,64.00,11.7,11700000,"75,700,000",75.70,15.46%,15,504.67%,147.33%,,,http://www.amazon.com/gp/product/B003Y6LROU/?tag=titb-20,1,,,,"Mar 19, 2010"
Never Let Me Go,2010,adaptation,70,69,70,70,74,-4,72,-3,,"romance, sci-fi",110000,0.11,2430000,2.43,7.02,7020000,"9,450,000",9.45,74.29%,15,63.00%,0.73%,,,http://www.amazon.com/gp/product/B004LQI0HE/?tag=titb-20,1,,,,"Oct 1, 2010"
I Love You Phillip Morris,2010,based on a true story,71,65,68,57,65,-8,61,7,,"comedy, romance",110000,0.11,2040000,2.04,18.69,18690000,"20,730,000",20.73,90.16%,15,138.20%,0.73%,,,http://www.amazon.com/gp/product/B004V6X902/?tag=titb-20,1,,,,"Dec 3, 2010"
Country Strong,2010,original screenplay,20,45,33,56,57,-1,57,-24,,music,7330000,7.33,20220000,20.22,0.31,310000,"20,530,000",20.53,1.51%,15,136.87%,48.87%,,,http://www.amazon.com/gp/product/B004W5T2RG/?tag=titb-20,1,,,,"Jan 7, 2011"
Solitary Man,2010,original screenplay,81,69,75,47,54,-7,51,25,,"comedy, romance",90000,0.09,4360000,4.36,0.82,820000,"5,180,000",5.18,15.83%,15,34.53%,0.60%,,,http://www.amazon.com/gp/product/B0043UCXQC/?tag=titb-20,1,,,,"Jun 11, 2010"
Our Family Wedding,2010,original screenplay,14,38,26,49,55,-6,52,-26,,comedy,7600000,7.60,20260000,20.26,1.15,1150000,"21,410,000",21.41,5.37%,14,152.93%,54.29%,,,http://www.amazon.com/gp/product/B003VN1CA0/?tag=titb-20,1,,,,"Mar 12, 2010"
Conviction,2010,original screenplay,68,61,65,71,70,1,71,-6,,biography,1620000,1.62,6790000,6.79,2.92,2920000,"9,710,000",9.71,30.07%,12.5,77.68%,12.96%,,,http://www.amazon.com/gp/product/B004LQLKOY/?tag=titb-20,1,,,,"Oct 15, 2010"
Just Wright,2010,original screenplay,45,51,48,58,54,4,56,-8,,"comedy, romance, sport",8300000,8.30,21540000,21.54,0.03,30000,"21,570,000",21.57,0.14%,12,179.75%,69.17%,,,http://www.amazon.com/gp/product/B009EEMNV2/?tag=titb-20,1,,,,"May 14, 2010"
MacGruber,2010,adaptation,47,43,45,33,60,-27,47,-2,,"action, comedy",4000000,4.00,8530000,8.53,0.8,800000,"9,330,000",9.33,8.57%,10,93.30%,40.00%,,,http://www.amazon.com/gp/product/B003WKQXCO/?tag=titb-20,1,,,,"May 21, 2010"
The Runaways,2010,adaptation,68,65,67,56,71,-15,64,3,,"biography, music",800000,0.80,3570000,3.57,1.11,1110000,"4,680,000",4.68,23.72%,10,46.80%,8.00%,,,http://www.amazon.com/gp/product/B003U42L8W/?tag=titb-20,1,,,,"Mar 19, 2010"
Devil,2010,original screenplay,52,44,48,45,63,-18,54,-6,,"horror, mystery, thriller",12300000,12.30,33600000,33.60,29.09,29090000,"62,690,000",62.69,46.40%,10,626.90%,123.00%,,,http://www.amazon.com/gp/product/B004EAQNO4/?tag=titb-20,1,,,,"Sep 17, 2010"
Skyline,2010,original screenplay,16,26,21,19,34,-15,27,-6,,"action, sci-fi, thriller",11690000,11.69,21390000,21.39,45.43,45430000,"66,820,000",66.82,67.99%,10,668.20%,116.90%,,,http://www.amazon.com/gp/product/B004UTCGNG/?tag=titb-20,1,,,,"Nov 12, 2010"
The Joneses,2010,original screenplay,61,55,58,47,68,-21,58,1,,"comedy, drama",510000,0.51,1480000,1.48,0.49,490000,"1,970,000",1.97,24.87%,10,19.70%,5.10%,,,http://www.amazon.com/gp/product/B009EEW6K0/?tag=titb-20,1,,,,"Apr 16, 2010"
Easy A,2010,adaptation,85,72,79,75,73,2,74,5,,"comedy, romance",17700000,17.70,58400000,58.40,16.55,16550000,"74,950,000",74.95,22.08%,8,936.88%,221.25%,,,http://www.amazon.com/gp/product/B008Y6Y1RA/?tag=titb-20,1,,,,"Sep 17, 2010"
Cyrus,2010,original screenplay,80,74,77,51,61,-10,56,21,,romance,180000,0.18,7470000,7.47,2.45,2450000,"9,920,000",9.92,24.70%,7,141.71%,2.57%,,,http://www.amazon.com/gp/product/B004G8X10S/?tag=titb-20,1,,,,"Jun 18, 2010"
City Island,2010,original screenplay,81,66,74,77,83,-6,80,-7,,comedy,32000,0.03,6670000,6.67,1.2,1200000,"7,870,000",7.87,15.25%,6,131.17%,0.53%,,,http://www.amazon.com/gp/product/B003ZSR6MY/?tag=titb-20,1,,,,"Mar 19, 2010"
The Kids Are All Right,2010,original screenplay,94,86,90,72,73,-1,73,18,,comedy,3500000,3.50,20810000,20.81,13.89,13890000,"34,700,000",34.70,40.03%,4,867.50%,87.50%,,,http://www.amazon.com/gp/product/B0046UGSNS/?tag=titb-20,1,,,,"Jul 30, 2010"
Please Give,2010,original screenplay,88,78,83,62,74,-12,68,15,,comedy,100000,0.10,4030000,4.03,0.28,280000,"4,310,000",4.31,6.50%,3,143.67%,3.33%,,,http://www.amazon.com/gp/product/B004AKGL4U/?tag=titb-20,1,,,,"Jun 18, 2010"
Paranormal Activity 2,2010,sequel,,53,53,,58,-58,58,-5,,horror,40670000,40.67,84750000,84.75,92.76,92760000,"177,510,000",177.51,52.26%,3,5917.00%,1355.67%,,,http://www.amazon.com/gp/product/B004MQ8A78/?tag=titb-20,1,,,,"Oct 22, 2010"
Winter's Bone,2010,adaptation,94,90,92,73,73,0,73,19,,drama,800000,0.80,6530000,6.53,7.3,7300000,"13,830,000",13.83,52.78%,2,691.50%,40.00%,,,http://www.amazon.com/gp/product/B008Y6YLBG/?tag=titb-20,1,,,,"Jun 11, 2010"
Buried,2010,original screenplay,86,65,76,63,72,-9,68,8,,"mystery, thriller",103000,0.10,1040000,1.04,18.11,18110000,"19,150,000",19.15,94.57%,2,957.50%,5.15%,,,http://www.amazon.com/gp/product/B004IM14RY/?tag=titb-20,1,,,,"Sep 24, 2010"
The Last Exorcism,2010,original screenplay,73,63,68,32,61,-29,47,22,,"horror, thriller",20400000,20.40,41030000,41.03,26.7,26700000,"67,730,000",67.73,39.42%,1.8,3762.78%,1133.33%,,,http://www.amazon.com/gp/product/B004HYDM8W/?tag=titb-20,1,,,,"Aug 27, 2010"
When in Rome,2010,original screenplay,15,25,20,44,47,-3,46,-26,,"comedy, romance",12300000,12.30,32680000,32.68,10.36,10360000,"43,040,000",43.04,24.07%,1.3,3310.77%,946.15%,,,http://www.amazon.com/gp/product/B003QTPAB6/?tag=titb-20,1,,,,"Jan 29, 2010"
