id,task,task_label,brief
257,257,Make an outfit with stationery / Guess what pun Tim will make,"Make an outfit of things bought in this stationary shop.
You have 10 minutes and £50 to do your shopping, and 20 minutes to make your outfit.
Your time starts now.

Guess the pun Tim created to describe his outfit."
258,258,Make a plastic bag as heavy as possible,"Make this plastic bag as heavy as possible.
You have 10 minutes, at the end of which the bag must hang unassisted on the scales for at least one minute.
Heaviest bag at the end of that minute wins.
Your time starts now."
259,259,Hold the most points above the ground,"Pick up as many points as possible.
The person holding the most points after 100 seconds wins."
260,260,The least appropriate wedding accessory,Bring in the least appropriate wedding accessory.
261,261,Knock over the fewest bowling pins,"Knock over the fewest skittles.
You may place one item on each of the three ramp sections, or you may place two items in one of the ramp sections.
Your items must be found on this table, and may not include either you or the table.
You may not tamper with the balls or the ramp.
The bowling balls will be released in five minutes.
Your time starts now."
262,262,Blow out a candle from a distance,"Blow the candle out from the furthest distance.
Furthest person from the candle when candle goes out wins.
You may not relight the candle after it goes out.
You have a maximum of 10 minutes.
Your time starts now."
263,263,Declare your love for the Taskmaster,"Tell the Taskmaster you love him in the most meaningful way.
You have half an hour.
Your time starts now."
264,264,Pick numbers higher and lower than the people next to you,"Display a number.
You get one rosette if your number is higher than the number of the person on your right.
You get one rosette if you number is lower than the number of the person on your left.
If you display the same number as someone else in a round, you both lose all your rosettes.
Most rosettes after three rounds wins."
265,265,The thing most people want to touch,Bring in the thing most people want to touch.
266,266,Make the best quick-change outfit,"Design and demonstrate the best quick-change outfit.
Best and quickest quick-change outfit wins.
You have one hour.
Your time starts now."
267,267,Build the tallest cardboard box tower,"Build the highest tower.
You have five minutes from when your first box is assembled.
You have a maximum time of 20 minutes from now."
268,268,Work out the perimeter of the caravan in beans,"Work out the circumference of the caravan in baked beans.
You have three minutes.
Most accurate wins.
Your time starts now."
269,269,Make the most exotic fruit hat,"Make the best fruit display hat.
You may not touch or tamper with your hat.
Only the fruit picker-uppers may touch the fruit.
You may only hold the fruit picker-uppers by their handles.
Best fruit display hat wins.
You have 100 seconds."
270,270,The boldest belt,Bring in the boldest belt.
271,271,Write a ten word story while running,"Write a 10-word story before you reach the finish line.
You must be running while writing.
Fastest across the finish line with a proper story wins.
Your time starts now."
272,272,Paint a blindfolded still life,"Paint the best picture of this still life.
The painter must remain blindfolded throughout.
The other person/people may not move from their chair(s) and may only say the following words: Banana, Down, Left, Less, More, Pick, Right, Up, Whoops.
You have 10 minutes.
Your time starts now."
273,273,Predict what another contestant will do with an object,"Predict what the person whose first name comes after yours alphabetically will do with one of the objects, then do something yourself with one of the objects.
You also get five points if the person whose first name comes before yours alphabetically correctly predicts your own action."
274,274,Draw the biggest and best circle,"Draw the biggest and best circle.
Biggest and best circle wins.
Your circle must be completed in one single sweep.
You have 10 minutes.
Your time starts now."
275,275,Build a tower of cans within a hoop,"Make the highest tower of cans within your hoop.
You have 100 seconds, during which you must also be within your hoop.
If you step out of your hoop during the 100 seconds, you will be disqualified.
After the 100 seconds, you must step out of your hoop and not touch your tower again.
Highest self-supporting tower of cans within your hoop 10 seconds after the final whistle wins."
276,276,Guess the number on Alex’s forearm,What number does Alex have written on his left forearm? Closest wins.
277,277,The best thing from the 90s,Bring in the best thing from the 90s.
278,278,Raise Alex’s heart rate,"Excite Alex.
Greatest increase in Alex’s current heart rate wins.
You have 20 minutes.
Your time starts now."
279,279,Make the best noise,"Make the best noise.
When you are ready to make your noise you must say: “This is my best noise.” After you have made your noise, you must remain still and silent for at least 10 seconds.
You have 20 minutes and one attempt.
Your time starts now."
280,280,Get the ball into the hole by striking it,"Get this ball in that hole in as few strokes as possible.
The ball must only be struck.
The ball must never be carried.
You have a maximum of 20 minutes.
Your time starts now."
281,281,Silently mouth a ten word fact to Greg,"Write down a ten-word fact.
You will have 100 seconds.
There is a bonus point for the best fact.

Mouth your fact to the Taskmaster without making any noise whatsoever.
Most words understood by the Taskmaster wins."
282,282,The most confusing thing,Bring in the most confusing thing.
283,283,Work out what the switch does,"Work out what happens when you flick this switch on.
You may not take the switch out of this room.
Your time starts now."
284,284,Change your appearance in a lift,"Dramatically alter your appearance.
Most dramatic alteration wins.
You may start altering your appearance when you are inside the lift and the doors are closed.
You must stop altering your appearance when the doors open again.
You may inspect the contents of the briefcase for five minutes before the lift doors open for the first time.
Your time starts now."
285,285,Make the scales read exactly 31.770kg,"Make these scales read 31.770kg.
The scales must read 31.770kg for at least five seconds.
Fastest wins.
Your time starts now."
286,286,Get dressed while wearing handcuffs,"Correctly don the most items of clothing.
You have 100 seconds.
Most new items of clothing correctly donned wins."
287,287,Make the best toilet paper plane,"Make the best loo roll paper aeroplane.
You have five minutes and one attempt.
Furthest flight wins.
Your time starts now."
288,288,The worst gift from a relative,Bring in the worst present from a named relative.
289,289,Spectacularly deliver the task to Alex,"Deliver this task to Alex in the most spectacular way.
Alex is in his caravan.
You have one hour.
Your time starts now."
290,290,Make the most white circles on the target,"Make as many white circles on the target as possible.
You must not step beyond this rope.
You must not move this rope or the target.
You have 5 minutes.
Your time starts now."
291,291,Cheer up the traffic warden,"Cheer up this former traffic warden.
You have 20 minutes.
Your time starts now."
292,292,Make yourselves appear as large or small as possible,"Make yourselves look as little or big as possible.
You have 20 minutes.
Your time starts now."
293,293,Place objects on the hanger without it falling,"Taking it in turns, each team must dangle one of these items on the hanger.
A different member of the team must dangle each time.
Once you’ve touched one of the items you must dangle it, and you must dangle with 20 seconds of the previous dangler.
The team who doesn’t cause the items on the hanger to fall wins."
294,294,The best key,Bring in the best key.
295,295,Put 50 different things in the bin,"Put exactly 50 different things in this bin.
Fastest wins.
Your time stops when you say: “I’ve put exactly 50 different things in this bin.” Your time starts when Alex touches you on the shoulder."
296,296,Make a portrait of the Taskmaster using your 50 items,"Using all the items on this mat make the best picture of the Taskmaster.
You have 10 minutes.
Your time starts now."
297,297,Make a soap opera cliffhanger,"Write and perform the most suspenseful soap opera cliff-hanger.
Your scene may last no more than one minute.
You have 30 minutes.
Your time starts now."
298,298,Place 10 pairs of glasses into the smallest box,"In the lab there are 10 pairs of glasses.
The pairs of glasses may not leave the lab.
Without breaking any of the pairs of glasses, put all the pairs of glasses into the smallest of these boxes.
You must select your box before leaving the caravan, and may not then change your mind.
Smallest box containing all the pairs of glasses with the lid shut properly wins.
You have a maximum total time of five minutes.
Your time starts now."
299,299,Get your inflatable ring as high as possible,"Get your doughnut as high as possible.
You must be holding hands with the people either side of you at all times.
Highest doughnut after 100 seconds wins.
If your doughnut is in the air after 100 seconds, its height will be measured from where it lands."
300,300,The most exciting thing beginning with 'G',Bring in the most exciting thing beginning with a “G”.
301,301,Throw something into the bin behind the fence,"Throw something into the bin on the other side of this fence.
You may not use ladders.
You may not touch the fence.
You must stay this side of the fence.
Fastest wins.
Your time starts now."
302,302,Don’t blink,"Don’t blink.
Last to blink wins.
Your time starts in 10 seconds."
303,303,Build an extension to the Taskmaster house,"Make the best extension to the Taskmaster house.
You have 30 minutes.
Your time starts now."
304,304,Make the best Christmas cracker,"Make the best Christmas cracker.
You have 10 minutes to order your materials, and 20 minutes to make your Christmas cracker.
Your time starts now."
305,305,Beat on the drum after exactly 9.58 seconds,"Walk over and hit that drum in exactly 9.58 seconds.
Also, there are two bonus points for the person with the most magnificent walk."
306,306,The creepiest thing,Bring in the creepiest thing.
307,307,Poke something unexpected through the hole,"Poke something out of the hole in the roof of this grotto.
Least expected thing poked through wins.
You have 20 minutes.
Your time starts now."
308,308,Follow the clues and then do what they spell,"C.
Your time starts now.
Now look in the microwave.

R.
Now look in your pigeonhole.

E.
Now look under the doormat.

A.
Now look in the lab.

M.
Now look in the little blue book.

S (at the beginning).
Fastest wins."
309,309,Compose a 30 second piece of music,"Compose the best 30 second piece of music.
You have 20 minutes.
Your time starts now."
310,310,"Bob, pat, kneel, stew, or wane","Bob when you hear the surname of a famous Bob.
Pat when you hear the surname of a famous Pat.
Kneel when you hear the surname of a famous Neil.
Stew when you hear the surname of a famous Stew.
Wane when you hear the surname of a famous Wayne.
If you do an incorrect action of fail to do any action within 10 seconds of hearing the name you are disqualified.
Last person correctly bobbing, patting, kneeling, stewing or waning wins."
311,311,The most surprisingly beautiful thing,Bring in the most surprisingly beautiful thing.
312,312,Put the largest numeric value of money in the floating bowl,"Put the most money in the small bowl.
You may not touch the small bowl.
The small bowl must not sink.
Also, you must say your own name at least once every 30 seconds.
You have five minutes.
The money in the small bowl with the highest total of numerical value wins.
Your time starts now."
313,313,Take a photo of yourself in a fez / Improve your hula-hooping,"Be photographed in the most unusual situation wearing this fez.
You have eight weeks.
Your time starts now.

Hula.
You have one minute.
Your time starts now.

Improve your hula-ing.
Greatest improvement wins.
You have until the studio shows.
Your time starts now."
314,314,Find the satsuma in a sock,"Find the sock with a satsuma inside.
You may not look inside any of your socks.
You may squeeze five socks.
You may stroke 10 socks.
You may sniff 20 socks.
You may put your hand inside three socks.
You may put 11 socks on your feet.
Fastest wins.
Your time starts now."
315,315,Complete a 24-shot rally,"Achieve a rally of exactly 24 shots.
You much each take the same amount of shots.
You must be stood at least 6’8” apart from one another.
The object stuck must neither touch the ground nor be held at any point during the rally.
There is a bonus point for the team which uses the most ambitious equipment.
Fastest wins.
Your time starts now."
316,316,Draw a happy horse upside-down,"Write your name and draw a picture of a happy horse on your overhead projector acetate, upside-down.
You must not rotate or manipulate your acetate.
You have 100 seconds.
Most accurate picture and writing when your acetate is overhead projected wins."
317,317,The most magnificent stationery,Bring in the most magnificent stationery.
318,318,Put on overalls and lie on the ground when the siren sounds,"When you hear this siren during a future task, put on your boiler suit and lie flat on the ground.
You may not touch or move the boiler suit until the siren sounds.
Fastest wins."
319,319,Find the hard-boiled egg,"Find the boiled egg.
You may touch two eggs.
You may damage two eggs.
You may not damage the boiled egg.
Fastest wins.
Your time starts now."
320,320,Recreate a classic video game,"Physically recreate a classic computer game.
Best recreation wins.
You have one hour.
Your time starts now."
321,321,Tie yourself up as securely as possible,"Tie yourself up as securely as possible.
Slowest to be released by Alex wins.
You have 10 minutes.
Your time starts now."
322,322,Sausage or finger?,"Prod the person in front of you with either a finger or a sausage.
If the prodded person guesses incorrectly whether they were prodded with either a finger or a sausage, they get eliminated.
Last prodded prodder standing wins.
Winner takes all."
323,323,The most powerful smell,Bring in the most powerful smell.
324,324,Find the baby monitor receiver,"Find the receiver of this baby monitor.
You must leave your hat on.
Fastest wins.
Your time starts now."
325,325,Make and be seduced by a ventriloquist dummy,"Make the best ventriloquist dummy and be chatted up by it.
Most seductive ventriloquist dummy wins.
You have 30 minutes and your scene must last no longer than 30 seconds.
Your time starts now."
326,326,Sneak up on Alex,"Alex is on the bridge in the distance with lights on his head.
Get as close as you can to Alex without him noticing you.
Alex will duck down the wall for 10 seconds, then pop up for 10 seconds, then duck down for 10 seconds and so on until he notices you.
The task starts when Alex first ducks down behind the wall, in one minute from now."
327,327,Collect the most doughnuts in your bucket,"Get the greatest weight of doughnuts in your bucket.
You must have your hands on your hips at all times.
You have 100 seconds."
328,328,Peel a banana with your feet,"Peel a banana using only your feet.
You may not touch the banana with your hands at any point.
You may not damage your banana.
Fastest wins."
329,329,The best pair of things,Bring in the best pair of things.
330,330,Make a moustache from something unexpected,"Put something on your face which looks like a moustache from a long distance away, but when you get up close you realise it is something completely different to what you thought.
You have 10 minutes to plan your moustache, and 10 further minutes to make your moustache.
Most unexpected moustache wins.
Your time starts now."
331,331,Transfer the rice to the bottle,"Get this rice into the bottle in the living room.
You may only use the shopping basket and its contents to transport and deliver the rice.
You may not touch the rice with anything other than the shopping basket and its contents.
You may not take the bottle out of the living room.
Most grains in the bottle wins.
You have 10 minutes.
Your time starts now."
332,332,"Convey an object using only facial expressions, noises, adjectives & verbs","Tell your teammates what is in this chest.
Your teammate(s) must not see what is in the chest.
After reading the task out you may not speak again until the task is over.
In the first minute you may only use facial expressions.
In the second minute you may only make noises.
In the third minute you may only shout adjectives.
From then on you may only whisper verbs.
Fastest correct communication wins.
Your time starts now."
333,333,Travel the furthest while making a continuous noise,"Travel the furthest distance while making a constant noise with your mouth.
You must start travelling in 30 seconds from now.
Furthest wins."
334,334,"Name a bird, eat a grape, name a contestant","Say a species of bird, eat a grape and then shout a competitor's name, within five seconds of hearing your own name.
If you fail to say a different species or bird, pop a grape in your mouth and shout a competitor’s name within five seconds of hearing your own name, you will be eliminated.
You must not say any bird which has previously been said during the task.
Last remaining player wins."
335,335,The best burstable thing,Bring in the best burstable thing.
336,336,Build the best volcano,"Build the best volcano.
You have 10 minutes to design your volcano blueprint.
You then have 20 minutes to build and demonstrate your volcano.
Your time starts now."
337,337,Work out what Alex is wearing,"Work out what Alex Horne is wearing next door.
Both you and Alex must stay in your seats at all times.
Alex may only communicate with Alex Horne’s horn.
You have a maximum of 15 minutes.
Fastest wins.
Your time starts now."
338,338,Do the worst thing and make the best apology,"Alex is in the living room.
In 20 minutes from now you must apologise to Alex for something you have done in that time.
Best apology for worst thing wins.
Your time starts now."
339,339,Get into two sleeping bags and complete other actions,"Get into one sleeping bag, with your arms through the armholes, the zip zipped up and the hood on your head.
Then stand to attention and salute the Taskmaster for a full five seconds.
Then get into the other sleeping bag, with your arms through the armholes, the zip zipped up and the hood on your head, while still in your first sleeping bag.
Then skip once.
Fastest wins."
340,340,The best present for a doctor,Bring in the best present for a doctor.
341,341,Get the toilet paper through the toilet seat,"Get this loo roll through the toilet seat.
You may not lower the toilet seat.
Fastest wins.
Your time starts now."
342,342,Make the best thing to entertain a toddler,"Make the best thing to engage a toddler.
The toddler will have five minutes with your thing.
Most engaged toddler wins.
You have 30 minutes.
Your time starts now."
343,343,Get the most weight into a hammock,"Put the most weight in the hammock, without anything falling out of the hammock.
If anything falls out of the hammock, you are disqualified.
Most weight in the hammock after 10 minutes wins.
Your time starts now."
344,344,Throw a frying pan into a hoop,"Choose a hoop you think you can throw a frying pan into.
Choose a distance from which you can throw a frying pan into that hoop.
If you choose the big hoop you have one attempt, if you choose the medium hoop you have two attempts, if you choose the small hoop you have three attempts.
The person who throws most of their frying pan into their hoop from the longest distance wins."
345,345,Whip the bottle off the barrel,"Whip a bottle off a barrel while standing behind a rope.
Fastest wins."
346,346,The best face,Bring in the best face.
347,347,Move the sand from one bucket to another,"Divert the sand from Bucket A into Bucket B.
You may not touch the sand.
You may not move the buckets.
You may not leave the room.
Most sand diverted into Bucket B wins.
Your time stops when the sand stops."
348,348,Make a realistic injury using food,"Make the most realistic injury using food.
You have five minutes to choose your ingredients, and then 10 minutes to make your realistic injury.
If two or more people use tomato ketchup, they are disqualified.
Your time starts now."
349,349,Play long-distance catch with a beach ball,"Have a long-distance game of catch with this beach ball.
One team member must be filmed in one location throwing the ball out of shot.
Another team member must be filmed in a different location catching the ball correctly and throwing it out of shot.
Another team member must be filmed in another location catching the ball correctly and throwing the ball out of shot and so on.
Greatest distance apparently covered by the beach ball wins.
You have two months.
Your time starts now."
350,350,Herd the ping pong balls into a pen,"Herd the most ping pong balls into the ping pong pen.
You may only touch the ping pong balls with the basketball, the string or one little finger.
You may not move the ping pong pens.
You have 10 minutes.
Your time starts now."
351,351,Recreate the scene you parade past,"Recreate the scene in the box.
You will parade past it once and must be touching the person in front of you throughout the parade.
Most accurate scene recreation wins.
You have 200 seconds after the parade."
352,352,The best see-through item,Bring in the best see-through item.
353,353,Conceal yourself inside a phone box,"Completely conceal yourself inside this phone box.
No part of you or your clothing may be visible from outside the phone box.
Fastest wins.
Your time stops when you shout: “I’m invisible!” Your time starts now."
354,354,Design an iconic album cover,"Design the most iconic album cover.
Best album cover, album title and band name wins.
Your album cover photo will be taken in 30 minutes.
Your time starts now."
355,355,Recall the order of the deck of cards,"In five minutes you return this pack of the cards to Alex in the lab, and tell Alex the order the cards are currently in.
You may not leave this room during the five minutes.
Most correctly named cards wins.
Your time starts now."
356,356,Score a goal from the greatest distance,"Score a goal from the furthest distance.
You may only take one shot.
If you don’t score a goal, you are disqualified.
You must perform a terrific goal celebration whether or not you score your goal.
There might be a bonus point for best goal celebration.
You have five minutes.
Your time starts now."
357,357,"Roll a toilet roll, and retrieve your shoe","Standing behind the first line, roll your loo roll beyond the second line.
If your loo roll fails to roll beyond the second line or falls from the runway, you are eliminated from the task.

Retrieve your shoe.
You may not cross the line in front of you.
If your shoe falls off your loo roll or your loo roll breaks, you are eliminated from the task.
Fastest wins.
Winner takes all."
358,358,The best slippery thing,Bring in the best slippery thing.
359,359,Find the apples,"Find the pink ladies.
If you touch or move a bowl, you must turn it over.
If you find the green egg, you are disqualified.
Most pink ladies wins.
You have 10 minutes.
Your time starts now."
360,360,Work out the crisp flavours,"Choose an outfit that the contestant whose first name comes after yours alphabetically must wear throughout a future task.
You have two minutes to make your choice.
Your time starts now.

Correctly wearing your complete outfit, identify the flavours of these crisps.
Closest guesses wins.
You have 10 minutes.
Your time starts now."
361,361,Do something powerful with your little finger,"Do the most powerful thing with your little finger.
Most powerful thing done with your little finger wins.
You have 30 minutes.
Your time starts now."
362,362,"Answer the questions, pull the strings; do not release the green egg","Do not release the green egg.
Each team will be asked a question in turn.
If you pull the string with the correct answer you will not release the green egg.
A different member of your team must answer each time.
You must pull a string within 30 seconds.
The team that doesn’t release the green egg wins."
363,363,The nicest thing to hold,Bring in the nicest thing to hold.
364,364,Make a portrait of a former contestant using sand and one tool,"Make a picture in the sand of a former Taskmaster contestant using one of these implements.
You must roll the dice to choose your implement.
Nothing but air may touch the sand at any point.
You have 10 minutes.
Your time starts as soon as you roll the dice."
365,365,Catch the tennis balls,"Catch all the red balls in things from the shed.
Catch all the yellow balls in clothing.
Don’t let the green balls touch anything other than the grass.
Catch the blue ball in something from the kitchen.
Red balls are worth one point, yellow balls two points, the blue ball five points, but you lose two points for every green ball that touches anything other than the grass.
You may not touch the ball machines.
Any non-green ball which touches the ground at any point will not count.
Highest score wins.
The balls will start firing in two minutes from now."
366,366,Move the beach ball across the finish line using only water,"Make this beach ball cross the finishing line.
Only water may touch the beach ball.
Fastest wins.
Your time starts now."
367,367,Complete the five-syllable words,"Complete the five-syllable word started by the Taskmaster.
Honk your horn if you think you know what word the Taskmaster is going to say.
If you guess it correctly after one syllable you get five points, if you guess it correctly after two syllables you get four points, three syllables for three points and four syllables for two points.
If you guess incorrectly, you lose all your points.
You may only guess once per word.
Highest score after 10 words wins.
Winner takes all."
368,368,The best form of protection,Bring in the best form of protection.
369,369,Get a ball into a bin with the most bounces,"Bounce one of these balls the most times so that it lands in that bin.
After propelling the ball you may not touch or strike it on its way to that bin.
Most bounces between propulsion and that bin wins.
You must use the ball you touched first.
You have 20 minutes.
Your time starts now."
370,370,Make a delicious dust meal,"Devise the most delicious dust.
You have five minutes to choose your ingredients, and then 10 minutes to make your delicious dust and serve it in this dustpan.
Your time starts now."
371,371,Make yourselves look like one person,"Make yourselves look like one person.
The team that looks and moves most like one person wins.
You have 20 minutes.
Your time starts when one of your looks at another one of you."
372,372,Complete some tasks as one person,"Remaining as one person throughout, put on these yellow wellington boots, eat this banana, and put the banana skin in the yellow bin over there.
Fastest wins.
Your time starts now."
373,373,Stack plates and bowls on your head,"Stack the most bowls and plates on your head.
You must stack them one at a time.
Also, you must stand upright when you stack.
Also, you may not touch a bowl or plate that is already stacked.
Also, you must stack the bowls and plates alternately.
Also, you must stay standing on your spot throughout the task.
Most bowls and plates stacked correctly after 100 seconds wins."
374,374,The best thing that will change your life for the better,Bring in the best thing that will actually change your life for the better the most.
375,375,Erase the eraser,"Completely erase this eraser.
Fastest wins.
Your time starts now."
376,376,Make the most tremendous legs,"Make yourself some tremendous pretend legs.
You have five minutes to order up to five items from Alex.
Once Alex has shopped for the items you have 20 minutes to make your tremendous legs and then demonstrate them.
Most tremendous pretend legs wins.
Your time starts now."
377,377,Blindly drive a mobility scooter around a course,"Follow the instructions on the signs and park this buggy in the parking bay.
You have a maximum of 10 minutes to prepare your journey, during which you may not move any of the items on the course.
Your journey must start from where the buggy is now.
Also, you must be wearing this blindfold correctly at all times during your journey.
Most accurate journey wins.
Your preparation time starts now."
378,378,Hook a duck while wearing inversion goggles,"Correctly wearing these goggles and with your eyes open at all times, retrieve your duck.
You must stand on spot and hold the stick by the handle.
You must stay standing on your spot at all times.
Fastest to hold their duck in their hand above their head wins.
You have a maximum of three minutes."
379,379,The most stressful thing,Bring in the most stressful thing.
380,380,Hide three aubergines from Alex,"Hide three aubergines in this room.
Longest time for Alex to find them wins.
You have nine minutes, after which Alex will start searching for the three aubergines.
Your time starts now."
381,381,Arrange the lollies in rainbow order,"Arrange the lollies in rainbow order on the board in front of you.
You may only take off your goggles if you find the dodo.
You may only accuse one thing of being a dodo.
Most accurate rainbow order wins.
You have seven minutes.
Your time starts now."
382,382,Make the most dramatic entrance,"Make the most dramatic entrance.
You have one hour.
Your time starts now."
383,383,Draw the second longest snake,"Draw the second-longest snake.
You snake must be half-an-inch wide at all points.
You snake must be neatly curled up again after three minutes.
There is a bonus point for the best snake."
384,384,The best bag,Bring in the best bag.
385,385,Identify which bin Alex is in,"Correctly identify which bin Alex is in.
You must adhere to the commandments behind the curtain.
You may only have one guess.
No bins are to be opened at any point during the task unless authorised.
Fastest correct guess wins.
Your time starts now and stops when you have your guess.
The Seven Commandments:
I - You may wheel one bin three metres.
II - You may gently shake one bin.
III - You may strike one bin with a frying pan.
IV - You may push one bin over.
V - You may listen to one bin with a stethoscope.
VI - You may avert your eyes and drop one thing into one bin.
VII - You may phone Alex's phone from the phone in the phone box."
386,386,Draw a portrait of the Taskmaster across a flipchart,"Draw a portrait of the Taskmaster using 16 A1 pages.
You may not remove the A1 pages from the flipchart during your drawing.
After the task, the A1 pages will be laid out in the pattern shown on the front page.
You may only draw on the flipchart paper.
Best portrait wins.
You have 20 minutes.
Your time starts now."
387,387,Say the word ‘demeaning’,"Complete this adventure.
Unless otherwise stated, you must stick together and only open one task after you have completed the previous one.
Fastest wins.
Now either look in the toaster or go to the shed."
388,388,Arrange the playdough balls / Do the correct things with the balls,"Make a lovely little ball arrangement.
You have 100 seconds.

Flatten all of the yellow balls, throw all of the red balls into the bucket and turn all the blue balls into one big blue ball.
Most balls in the right shape and place after 100 seconds wins."
389,389,The weirdest wooden thing,Bring in the weirdest wooden thing.
390,390,Surprise memory test,"Go to the caravan.
You must enter the caravan in two minutes of Alex entering the caravan.

List all the things that are hanging from the wooden board in the lab.
Also, say the colour of the wooden board in the lab.
Also, say what Alex said to you in the lab.
Most correct answers wins.
You have three minutes.
You may not leave the caravan.
Your time starts now."
391,391,Build a robust statue of a delicate thing,"Build the most robust statue of the most delicate thing using the materials provided and place it on the red cross.
Your delicate thing must be recognisable on the red cross an hour after you finish and should leave you feeling enormously proud of your creation.
You have 15 minutes.
Your time starts now."
392,392,Score a goal with a steamroller,"Score a goal with this football.
You time starts when Alex blows his whistle."
393,393,Break something and put it back together,"Break something into the most parts and completely fix it.
You have five minutes to select your item, three minutes to break it and seven minutes to fix it.
Your selection time starts now."
394,394,Fill a glass with water,"Wearing your blindfold correctly at all times, fill a pint glass with water.
If you make a big mess, you are disqualified.
Closest to a pint of water wins.
You have three minutes."
395,395,The best thing to celebrate with on stage,Bring in the best thing to celebrate with on a stage
396,396,Make the most striking water feature,"Make the most striking water feature.
You have 20 minutes.
Your time starts now."
397,397,Bring a classic board game to life,"Bring a classic board game to life.
Best real-life board game wins.
You have one hour.
Your time starts now."
398,398,Fill a tray with things beginning with a letter you chose,"Say a letter of the alphabet.
You have 10 seconds.
Your time starts now.

Put the most things beginning with the letter you just said on this tray.
The tray may not leave Alex, and Alex may not leave the lab.
Most things beginning with the letter you just said on the tray in five minutes from now wins."
399,399,"Throw objects, but not too far","Throw your things far, but not too far.
Taking it in turns you must select a thing, and throw it beyond the line, but not off the runway.
If your thing does not end up in the safe zone you are disqualified.
If all objects end up in the safe zone, the person who has thrown their thing the shortest distance is disqualified.
You may not manipulate your things in any way before throwing them.
Last player standing wins."
400,400,The best defunct thing,Bring in the best defunct thing.
401,401,Lasso Alex,"Lasso Alex.
You must stand behind this line at all times.
Fastest wins.
Your time starts now."
402,402,Make an accurate and inventive egg timer,"Make the most accurate and inventive egg timer.
You have 10 minutes to plan your egg timer, and then 20 minutes to make your egg timer, after which Alex will boil an egg for as long as your egg timer lasts.
The Taskmaster likes his eggs runny, but not too runny.
You may not use any pre-existing timing devices.
Your time starts now."
403,403,"Get to know a person who alternately tells the truth, lies, and brags","Get to know this person.
You will be tested on your knowledge of this person in 10 minutes time.
You may not write anything down or leave the lab.
You must take it in turns to ask a completely different question.
The person will tell the truth, lie, then brag in that order, but not necessarily starting with the truth.
Your time starts now.

Welcome to the exam.
You may confer, and I will then only accept your first answer.
The exam will last a maximum of ten minutes from now.

There is a bonus point for whoever can best recreate the person's party trick."
404,404,Build a tower behind you using a mirror and litter pickers,"Looking at your mirror and facing forward at all times, build the highest tower of bricks on the table behind you.
You must stay on your spot and use your litter pickers at all times.
Highest tower after two minutes wins."
405,405,The thing you’d be most pleased to find in a field,Bring in the thing that if you found it in a field you would be most pleased about.
406,406,Make a body part abnormally long,"Make a part of your body look abnormally long.
Most realistic and abnormally extended body part wins.
You have 20 minutes.
Your time starts now."
407,407,Push a watermelon up a slide using breadsticks,"Push a melon up the slide and into the caravan with these breadsticks.
Only breadsticks may touch the melon at any point.
There is a bonus point for the fewest breadsticks used.
You may not adjust the slide.
Fastest wins.
Your time starts now."
408,408,Serenade yourself,"Serenade yourself.
You have 20 minutes to perform and receive your serenade.
Most sensational self-serenade wins.
Your time starts now."
409,409,Slide drinks to the Taskmaster,"Slide a drink to the Taskmaster.
The worst slider each round must leave the bar.
Last person at the bar wins."
410,410,The best thing taken from someone else’s house,Bring in the best thing you’ve taken from someone else’s house.
411,411,Throw eggs into metal receptacles,"Get an entire egg into one of those metal things.
Highest single score wins.
If you get an entire egg into one of those metal things without the egg breaking, the score is doubled.
You may not move the chair or the metal things, and you must release your egg while on the chair.
You have 10 minutes.
Your time starts now."
412,412,Build the best Mount Rushmore,"Forge the best Mount Rushmore.
You have 10 minutes to write your shopping list and 30 minutes to forge your Mount Rushmore.
Your time starts now."
413,413,Find and put the gold rings on the stick,"Join your hands together so your palms are touching and each finger of one hand is touching the equivalent finger of the other hand.
Your hands must stay in this position for the entirety of the task.
Now turn the task over.

Put the most gold rings on this drumstick.
You have five minutes.
Your time starts now."
414,414,Horse or laminator?,"Read the Taskmaster’s mind.
The Taskmaster will choose a card.
You must state if that card features a horse or a laminator.
You will receive one point for every correct answer in a row."
415,415,The best thing from a shed,Bring in the best thing from a shed.
416,416,Throw something into a pedal bin,"Throw something into this pedal bin from the furthest distance.
The pedal bin must be shut when you throw your thing.
You have a maximum of 20 minutes.
Your time starts now."
417,417,Write and perform lyrics for the Taskmaster theme tune,"Write the best lyrics to the Taskmaster theme tune and perform them in the most memorable way.
You have 30 minutes.
Your time starts now."
418,418,Supply a soundtrack for a film,"Supply the sound for this film.
You will have one chance to perform all the sounds in time within the film in exactly 20 minutes from now."
419,419,Draw your own face on a face shield,"Without adjusting your welders mask at any point, draw your own face on the front of your welders mask.
Your face should be the same size as your face, and either very angry or very happy.
Most detailed and accurate face wins.
You have three minutes."
420,420,The most desirable smooth thing,Bring in the most desirable smooth thing.
421,421,Subtly deliver a five word instruction to Alex,"Give Alex the five-word instruction in the most spy-like way.
You must not be seen or heard communicating with Alex in any way.
Most subtly but successfully communicated instruction wins.
You have 20 minutes, in which Alex must carry out your instruction.
Your time starts now."
422,422,"Inflate, tie, and pop the most balloons","Inflate, tie and pop as many balloons as possible in 10 minutes.
Once you pop your first balloon, you may not inflate any more balloons.
If any of your balloons are still inflated after 10 minutes you are disqualified.
Most popped balloons wins.
Also, you may not look at a clock or any sort of timing device at any point.
Your time starts now."
