id,task,task_label,winner,winner_label,team,live
455,379,The most stressful thing,51,Katy Wix,0,0
456,380,Hide three aubergines from Alex,49,Ed Gamble,0,0
457,381,Arrange the lollies in rainbow order,49,Ed Gamble,0,0
458,381,Arrange the lollies in rainbow order,52,Rose Matafeo,0,0
459,382,Make the most dramatic entrance,52,Rose Matafeo,0,0
460,383,Draw the second longest snake,48,David Baddiel,0,1
461,384,The best bag,52,Rose Matafeo,0,0
462,385,Identify which bin Alex is in,49,Ed Gamble,0,0
463,386,Draw a portrait of the Taskmaster across a flipchart,51,Katy Wix,0,0
464,387,Say the word ‘demeaning’,49,Ed Gamble,1,0
465,387,Say the word ‘demeaning’,51,Katy Wix,1,0
466,387,Say the word ‘demeaning’,52,Rose Matafeo,1,0
467,388,Arrange the playdough balls / Do the correct things with the balls,50,Jo Brand,0,1
468,389,The weirdest wooden thing,48,David Baddiel,0,0
469,390,Surprise memory test,51,Katy Wix,0,0
470,391,Build a robust statue of a delicate thing,51,Katy Wix,0,0
471,392,Score a goal with a steamroller,52,Rose Matafeo,0,0
472,393,Break something and put it back together,50,Jo Brand,0,0
473,394,Fill a glass with water,49,Ed Gamble,0,1
474,395,The best thing to celebrate with on stage,49,Ed Gamble,0,0
475,396,Make the most striking water feature,49,Ed Gamble,0,0
476,397,Bring a classic board game to life,48,David Baddiel,1,0
477,397,Bring a classic board game to life,49,Ed Gamble,1,0
478,397,Bring a classic board game to life,50,Jo Brand,1,0
479,397,Bring a classic board game to life,51,Katy Wix,1,0
480,397,Bring a classic board game to life,52,Rose Matafeo,1,0
481,398,Fill a tray with things beginning with a letter you chose,52,Rose Matafeo,0,0
482,399,"Throw objects, but not too far",52,Rose Matafeo,0,1
483,400,The best defunct thing,48,David Baddiel,0,0
484,401,Lasso Alex,50,Jo Brand,0,0
485,402,Make an accurate and inventive egg timer,50,Jo Brand,0,0
486,403,"Get to know a person who alternately tells the truth, lies, and brags",49,Ed Gamble,1,0
487,403,"Get to know a person who alternately tells the truth, lies, and brags",51,Katy Wix,1,0
488,403,"Get to know a person who alternately tells the truth, lies, and brags",52,Rose Matafeo,1,0
489,404,Build a tower behind you using a mirror and litter pickers,49,Ed Gamble,0,1
490,404,Build a tower behind you using a mirror and litter pickers,52,Rose Matafeo,0,1
491,405,The thing you’d be most pleased to find in a field,49,Ed Gamble,0,0
492,406,Make a body part abnormally long,50,Jo Brand,0,0
493,407,Push a watermelon up a slide using breadsticks,49,Ed Gamble,0,0
494,408,Serenade yourself,49,Ed Gamble,0,0
495,408,Serenade yourself,50,Jo Brand,0,0
496,408,Serenade yourself,52,Rose Matafeo,0,0
497,409,Slide drinks to the Taskmaster,51,Katy Wix,0,1
498,410,The best thing taken from someone else’s house,48,David Baddiel,0,0
499,411,Throw eggs into metal receptacles,51,Katy Wix,0,0
500,412,Build the best Mount Rushmore,48,David Baddiel,0,0
501,412,Build the best Mount Rushmore,51,Katy Wix,0,0
502,413,Find and put the gold rings on the stick,49,Ed Gamble,0,0
503,413,Find and put the gold rings on the stick,51,Katy Wix,0,0
504,414,Horse or laminator?,50,Jo Brand,0,1
505,415,The best thing from a shed,50,Jo Brand,0,0
506,416,Throw something into a pedal bin,49,Ed Gamble,0,0
507,417,Write and perform lyrics for the Taskmaster theme tune,52,Rose Matafeo,0,0
508,418,Supply a soundtrack for a film,49,Ed Gamble,1,0
509,418,Supply a soundtrack for a film,51,Katy Wix,1,0
510,418,Supply a soundtrack for a film,52,Rose Matafeo,1,0
511,419,Draw your own face on a face shield,51,Katy Wix,0,1
512,420,The most desirable smooth thing,48,David Baddiel,0,0
513,421,Subtly deliver a five word instruction to Alex,48,David Baddiel,0,0
514,422,"Inflate, tie, and pop the most balloons",49,Ed Gamble,0,0
515,423,Make a famous couple using knees and/or elbows,51,Katy Wix,0,0
516,424,Communicate pictures by drawing on your team-mate’s back,50,Jo Brand,1,1
517,424,Communicate pictures by drawing on your team-mate’s back,51,Katy Wix,1,1
518,424,Communicate pictures by drawing on your team-mate’s back,52,Rose Matafeo,1,1
519,425,The best thing that is very long and thin,51,Katy Wix,0,0
520,426,Do the most preposterous thing with a chickpea,52,Rose Matafeo,0,0
521,427,Make a cup of tea,48,David Baddiel,1,0
522,427,Make a cup of tea,50,Jo Brand,1,0
523,428,Complete the seven tasks in any order,49,Ed Gamble,0,0
524,429,Select the shortest breadstick,52,Rose Matafeo,0,1
525,430,Use a spread to delay a pop-up toy,49,Ed Gamble,0,0
526,431,The nicest thing to put in your mouth,53,Daisy May Cooper,0,0
527,433,Make a large object vanish,56,Mawaan Rizwan,0,0
528,435,Get the most balls of the same colour in your bucket using litter pickers,57,Richard Herring,0,1
529,436,The best thing with loads of holes in it,56,Mawaan Rizwan,0,0
530,437,"Find the treasure / Make different, increasingly loud noises",55,Katherine Parkinson,1,0
531,437,"Find the treasure / Make different, increasingly loud noises",56,Mawaan Rizwan,1,0
532,438,"Make a portrait of the Taskmaster and his toy using balloons, pegs, and clothing",54,Johnny Vegas,0,0
533,439,Get all the exercise balls in the hoops while in a boat,53,Daisy May Cooper,0,0
534,440,Guess what is making the noises,53,Daisy May Cooper,0,1
535,440,Guess what is making the noises,57,Richard Herring,0,1
536,441,Select a wind-up dinosaur,55,Katherine Parkinson,0,0
537,442,The best thing that probably has a spring,54,Johnny Vegas,0,0
538,443,Make the best upside-down film,54,Johnny Vegas,0,0
539,444,Put the most spaghetti in a grapefruit,53,Daisy May Cooper,0,0
540,445,Catapult a shoe into a bathtub,53,Daisy May Cooper,0,0
541,446,Draw an object on a rotating canvas,53,Daisy May Cooper,1,1
542,446,Draw an object on a rotating canvas,57,Richard Herring,1,1
543,447,The cheekiest food,56,Mawaan Rizwan,0,0
544,448,Make the phone ring,57,Richard Herring,0,0
545,449,Persuade the security guard to look in your bag,53,Daisy May Cooper,1,0
546,449,Persuade the security guard to look in your bag,54,Johnny Vegas,1,0
547,450,Drop a water balloon as far as possible without it bursting,53,Daisy May Cooper,0,0
548,450,Drop a water balloon as far as possible without it bursting,54,Johnny Vegas,0,0
549,450,Drop a water balloon as far as possible without it bursting,55,Katherine Parkinson,0,0
550,451,Roll an edible sphere across a line as slowly as possible,54,Johnny Vegas,0,1
551,452,The best pointy thing,57,Richard Herring,0,0
552,453,Bag the heaviest thing from the greatest distance,55,Katherine Parkinson,0,0
553,454,Paint a howling wolf on a rotating teapot,53,Daisy May Cooper,0,0
554,454,Paint a howling wolf on a rotating teapot,57,Richard Herring,0,0
555,455,Do something out of character with £20,53,Daisy May Cooper,0,0
556,455,Do something out of character with £20,56,Mawaan Rizwan,0,0
557,456,Feed your team-mate(s) the most watermelon,53,Daisy May Cooper,1,0
558,456,Feed your team-mate(s) the most watermelon,57,Richard Herring,1,0
559,457,List words of a certain length without hesitating,53,Daisy May Cooper,0,1
560,458,The most narcissistic thing,56,Mawaan Rizwan,0,0
561,459,Quietly make a cocktail,56,Mawaan Rizwan,0,0
562,460,Draw the animal watching you from the mirror,54,Johnny Vegas,0,0
563,461,Transfer the water from one barrel to another,56,Mawaan Rizwan,0,0
564,462,Draw animals using straight lines,54,Johnny Vegas,1,1
565,462,Draw animals using straight lines,55,Katherine Parkinson,1,1
566,462,Draw animals using straight lines,56,Mawaan Rizwan,1,1
567,463,The best thing that’s bigger at the top than the bottom,56,Mawaan Rizwan,0,0
568,464,Move two chickens around a course using a remote-control car and a mobility scooter,56,Mawaan Rizwan,0,0
569,465,Communicate the safe contents via reversed audio,54,Johnny Vegas,1,0
570,465,Communicate the safe contents via reversed audio,55,Katherine Parkinson,1,0
571,465,Communicate the safe contents via reversed audio,56,Mawaan Rizwan,1,0
572,466,Make the best and longest-lasting marble run,55,Katherine Parkinson,0,0
573,467,Communicate things to the Taskmaster using only sounds,53,Daisy May Cooper,0,1
574,468,Work out how many sheets are on a toilet roll,54,Johnny Vegas,0,0
575,469,The best thing with wings,57,Richard Herring,0,0
576,471,Learn your lines and perform a scene,57,Richard Herring,0,0
577,472,Extract water from a coconut,55,Katherine Parkinson,0,0
578,473,Do not blink while staring at your opponent with a selected expression,54,Johnny Vegas,1,1
579,473,Do not blink while staring at your opponent with a selected expression,56,Mawaan Rizwan,1,1
580,473,Do not blink while staring at your opponent with a selected expression,57,Richard Herring,1,1
581,474,The best bedding,57,Richard Herring,0,0
582,475,Make the largest beer mat house while ringing the doorbell with increasing frequency,56,Mawaan Rizwan,0,0
583,476,Complete the most tasks behind the five motorised doors,53,Daisy May Cooper,0,0
584,477,Work out how many balls are in the basket,53,Daisy May Cooper,0,0
585,478,Draw the monster described by the Taskmaster,57,Richard Herring,0,1
586,479,The greatest collection,56,Mawaan Rizwan,0,0
587,480,Put the wellies on the spider’s feet,53,Daisy May Cooper,0,0
588,481,Complete the best performance of a specific song,53,Daisy May Cooper,1,0
589,481,Complete the best performance of a specific song,57,Richard Herring,1,0
590,482,Neatly hang all the clothes on a rail without stepping over the line,55,Katherine Parkinson,0,0
591,483,Balance all the mints or biscuits on a spaghetti bridge,57,Richard Herring,0,1
592,484,Guess how many green eggs are under the Taskmaster’s chair,57,Richard Herring,0,1
593,485,The best thing to bring to a party,62,Shirley Ballas,0,0
594,486,Get the biggest thing through the doughnut,61,Rylan Clark-Neal,0,0
595,487,Sculpt the scene on the other side of the wall,61,Rylan Clark-Neal,0,0
596,488,Build the lightest tower,58,John Hannah,0,0
597,489,Strike balls into a bath with an object,62,Shirley Ballas,0,1
598,490,"The best thing you can carry, but only just",66,Mike Wozniak,0,0
599,491,Do something impressive under the table while waving,66,Mike Wozniak,0,0
600,492,Catch the rat,65,Lee Mack,0,0
601,493,Deliver all the plates to Alex,65,Lee Mack,0,0
602,494,Stack your buckets so that they are taller than you,67,Sarah Kendall,0,1
603,495,The best drinking vessel,63,Charlotte Ritchie,0,0
604,496,Make the balloon hover,64,Jamali Maddix,0,0
605,497,Have an argument,65,Lee Mack,1,0
606,497,Have an argument,66,Mike Wozniak,1,0
607,498,Make the house haunted,67,Sarah Kendall,0,0
608,499,Correctly guess your standing in the group,65,Lee Mack,0,1
609,500,The most shocking cat- to pig-sized thing,65,Lee Mack,0,0
610,501,Make the sauna stones hiss,67,Sarah Kendall,0,0
611,502,Create a days in month mnemonic,67,Sarah Kendall,0,0
612,503,Get your luggage through security,65,Lee Mack,0,0
613,504,Act out nursery rhymes,65,Lee Mack,1,1
614,504,Act out nursery rhymes,66,Mike Wozniak,1,1
615,505,The craziest thing,67,Sarah Kendall,0,0
616,506,Get all of the banana in the bottle,67,Sarah Kendall,0,0
617,507,Put the bag of salt onto that table,63,Charlotte Ritchie,1,0
618,507,Put the bag of salt onto that table,64,Jamali Maddix,1,0
619,507,Put the bag of salt onto that table,67,Sarah Kendall,1,0
620,508,Get the sheet of loo roll as far away as possible,64,Jamali Maddix,0,0
621,509,Identify the contents of the bowl,64,Jamali Maddix,0,1
622,510,The best thing you can operate with your hand,64,Jamali Maddix,0,0
623,511,Cover your legs in cling film and gaffer tape / Put on the captain’s hat,64,Jamali Maddix,0,0
624,512,Make the best uniform for this bee,65,Lee Mack,0,0
625,513,Sort the objects with your face,63,Charlotte Ritchie,0,0
626,514,Slap and tong,63,Charlotte Ritchie,1,1
627,514,Slap and tong,64,Jamali Maddix,1,1
628,514,Slap and tong,67,Sarah Kendall,1,1
629,515,The most annoying thing,64,Jamali Maddix,0,0
630,517,Make a portrait of the Taskmaster on a door using your feet,64,Jamali Maddix,0,0
631,518,Vandalise a wall creatively,65,Lee Mack,1,0
632,518,Vandalise a wall creatively,66,Mike Wozniak,1,0
633,519,Identify the battered items,64,Jamali Maddix,0,0
634,520,Tie the string to the glasses and put them on,65,Lee Mack,0,1
635,521,Fire rubber bands into Alex’s bum bag,64,Jamali Maddix,0,0
636,522,The best thing to hang on a wall that you wouldn’t normally hang on a wall,65,Lee Mack,0,0
637,523,Complete the most tasks,66,Mike Wozniak,0,0
638,524,Make the best babushka meal,64,Jamali Maddix,0,0
639,525,Get out of the front gate,65,Lee Mack,1,0
640,525,Get out of the front gate,66,Mike Wozniak,1,0
641,526,Make your rubber gloves and wellies as heavy as possible,65,Lee Mack,0,1
642,527,The most satisfying wobbly thing,63,Charlotte Ritchie,0,0
643,527,The most satisfying wobbly thing,64,Jamali Maddix,0,0
644,527,The most satisfying wobbly thing,65,Lee Mack,0,0
645,527,The most satisfying wobbly thing,66,Mike Wozniak,0,0
646,527,The most satisfying wobbly thing,67,Sarah Kendall,0,0
647,528,Complete various tasks while saying ‘metronome’,66,Mike Wozniak,0,0
648,529,Draw the best picture of a British animal,65,Lee Mack,1,0
649,529,Draw the best picture of a British animal,66,Mike Wozniak,1,0
650,530,Perform the greatest aircraft safety demonstration,66,Mike Wozniak,0,0
651,531,One leg or two?,65,Lee Mack,0,1
652,532,The nattiest knitwear,63,Charlotte Ritchie,0,0
653,533,Make the most impressive weather for Taskmaster Island,63,Charlotte Ritchie,0,0
654,534,Build and topple a tower for a pot of yoghurt,63,Charlotte Ritchie,0,0
655,535,Appear as different as possible in four photos,66,Mike Wozniak,0,0
656,536,Shove your fish,66,Mike Wozniak,0,1
657,537,The thing that makes you look the toughest,66,Mike Wozniak,0,0
658,538,"Make the best picture of a big, scary dinosaur",67,Sarah Kendall,0,0
659,539,Scientifically work out how much Alex’s feet and head weigh,65,Lee Mack,0,0
660,540,Direct a teammate into the red circle,65,Lee Mack,1,0
661,540,Direct a teammate into the red circle,66,Mike Wozniak,1,0
662,541,"Keeping your head still at all times, correctly don your special outfit",63,Charlotte Ritchie,0,1
663,542,The nicest thing to sit on,69,Desiree Burch,0,0
664,543,Strike Alex with a ball,71,Morgana Robinson,0,0
665,544,Paint a flattering picture of the Taskmaster in action,70,Guz Khan,0,0
666,545,Pop the balloon,68,Alan Davies,0,0
667,546,"Strike poses to represent a hobby, an animal, and a celebrity",71,Morgana Robinson,0,1
668,547,The most awesome square,70,Guz Khan,0,0
669,548,Scale the mountain,69,Desiree Burch,1,0
670,548,Scale the mountain,70,Guz Khan,1,0
671,548,Scale the mountain,71,Morgana Robinson,1,0
672,549,Work out the contents of the bags,72,Victoria Coren Mitchell,0,0
673,550,Paint the space hopper green,71,Morgana Robinson,0,0
674,551,Put on the medallion,70,Guz Khan,0,1
675,552,The most old-fashioned thing that you still use,69,Desiree Burch,0,0
676,553,Copy Alex,72,Victoria Coren Mitchell,0,0
677,554,Make a sand bridge across the river,68,Alan Davies,0,0
678,555,Film a thrilling sequence with a welly-cam,69,Desiree Burch,0,0
679,556,Convey objects using shadows,69,Desiree Burch,1,1
680,556,Convey objects using shadows,70,Guz Khan,1,1
681,556,Convey objects using shadows,71,Morgana Robinson,1,1
682,557,The best thing that has quite a few layers,68,Alan Davies,0,0
683,558,Complete the course as slowly as possible,69,Desiree Burch,0,0
684,559,Spread jam on toast in a really cool way,70,Guz Khan,0,0
685,560,Solve the riddle,68,Alan Davies,1,0
686,560,Solve the riddle,72,Victoria Coren Mitchell,1,0
687,561,Get the most forks in your bucket,71,Morgana Robinson,0,1
688,562,The most elegant thing beginning with 'G',70,Guz Khan,0,0
689,563,Sit on a cake,72,Victoria Coren Mitchell,0,0
690,565,Prevent Alex from scoring a goal,71,Morgana Robinson,0,0
691,566,Pop the most balloons,70,Guz Khan,0,1
692,567,The most desirable thing for another contestant,69,Desiree Burch,0,0
693,568,Land the iron on the ironing board,68,Alan Davies,0,0
694,569,Make a cute toy for a cute dog,70,Guz Khan,0,0
695,570,Sit on the red chair in the secret tower,69,Desiree Burch,0,0
696,571,Make paper aeroplanes,69,Desiree Burch,0,1
697,571,Make paper aeroplanes,70,Guz Khan,0,1
698,572,The most ridiculous thin thing,72,Victoria Coren Mitchell,0,0
699,573,Put up a shelf for the Taskmaster's snooker balls,68,Alan Davies,0,0
700,574,Write and perform a 30-second jingle,69,Desiree Burch,0,0
701,574,Write and perform a 30-second jingle,71,Morgana Robinson,0,0
702,575,Pass everything through the pipe and the pipe through everything,69,Desiree Burch,0,0
703,576,Direct drawings using limited keywords,68,Alan Davies,0,1
704,576,Direct drawings using limited keywords,72,Victoria Coren Mitchell,0,1
705,577,The best thing you have repurposed,69,Desiree Burch,0,0
706,578,Make a popcorn necklace and do the right thing,70,Guz Khan,0,0
707,579,Play and commentate on a socially-distanced sport,68,Alan Davies,1,0
708,579,Play and commentate on a socially-distanced sport,69,Desiree Burch,1,0
709,579,Play and commentate on a socially-distanced sport,70,Guz Khan,1,0
710,579,Play and commentate on a socially-distanced sport,71,Morgana Robinson,1,0
711,579,Play and commentate on a socially-distanced sport,72,Victoria Coren Mitchell,1,0
712,580,Make your face look like another face when it's upside-down,68,Alan Davies,0,0
713,580,Make your face look like another face when it's upside-down,72,Victoria Coren Mitchell,0,0
714,581,Pop up before the objects,71,Morgana Robinson,0,1
715,582,Blow a feather across a table with your nose,68,Alan Davies,0,0
716,583,The best 40 identical things on a towel,68,Alan Davies,0,0
717,584,Have the longest telephone conversation,69,Desiree Burch,0,0
718,585,Find the soldier with hindsight,71,Morgana Robinson,0,0
719,586,Get goosebumps,71,Morgana Robinson,0,0
720,587,Duck-slide,69,Desiree Burch,1,1
721,587,Duck-slide,70,Guz Khan,1,1
722,587,Duck-slide,71,Morgana Robinson,1,1
723,588,The most magnificent floppy thing,69,Desiree Burch,0,0
724,589,Drink with your mouth open,69,Desiree Burch,0,0
725,590,Describe the Taskmaster / Chocolate button / Guess the tasks,68,Alan Davies,1,0
726,590,Describe the Taskmaster / Chocolate button / Guess the tasks,72,Victoria Coren Mitchell,1,0
727,591,Propose to Alex,70,Guz Khan,0,0
728,591,Propose to Alex,71,Morgana Robinson,0,0
729,592,Make noises without being identified by the Taskmaster,70,Guz Khan,0,1
730,592,Make noises without being identified by the Taskmaster,71,Morgana Robinson,0,1
731,593,"The most beguiling, unwieldy, shiny thing",76,Lady Leshurr,0,0
732,594,Daringly put the egg in the eggcup,73,Adrian Chiles,0,0
733,595,Drink all the vinegar,73,Adrian Chiles,0,0
734,596,Navigate the course with the pole,73,Adrian Chiles,0,0
735,597,Turn a ball into a competitor's head,77,Sayeeda Warsi,0,1
736,598,The most exciting thing to be found in a skip,79,Bridget Christie,0,0
737,599,Find all ten ducks in the lab,80,Chris Ramsey,0,0
738,600,Create a lipstick portrait of the Taskmaster,80,Chris Ramsey,0,0
739,601,Duel with Alex,82,Sophie Duker,0,0
740,602,Count to 13,80,Chris Ramsey,0,1
741,603,The object you would most like to show to an alien,78,Ardal O'Hanlon,0,0
742,604,Tie a ribbon round the maypole or hit it with a ping pong ball,82,Sophie Duker,0,0
743,605,Recreate the coolest photo from your phone,79,Bridget Christie,0,0
744,606,Score an exercise ball hat-trick using a buggy,78,Ardal O'Hanlon,1,0
745,606,Score an exercise ball hat-trick using a buggy,80,Chris Ramsey,1,0
746,607,Draw and describe the object under your table,79,Bridget Christie,0,1
747,608,The item that sounds funniest when you say its name over and over again,81,Judi Love,0,0
748,609,Recreate a historical moment using traffic cones,79,Bridget Christie,0,0
749,610,Make all the things happen at the same time,80,Chris Ramsey,0,0
750,611,Enable Alex to bite his duck,79,Bridget Christie,0,0
751,612,Face leg or other leg?,79,Bridget Christie,1,1
752,612,Face leg or other leg?,81,Judi Love,1,1
753,612,Face leg or other leg?,82,Sophie Duker,1,1
754,613,The best night-time thing,78,Ardal O'Hanlon,0,0
755,614,Guess Shoe,80,Chris Ramsey,0,0
756,615,Give Alex the best stag minute,78,Ardal O'Hanlon,1,0
757,615,Give Alex the best stag minute,80,Chris Ramsey,1,0
758,616,Make a stirring speech out of the bunting,81,Judi Love,0,0
759,617,Knock over your opponents' dolls with a tyre,79,Bridget Christie,0,1
760,618,Turn over the most beer mats,78,Ardal O'Hanlon,0,0
761,619,The most surprising thing from your wardrobe,79,Bridget Christie,0,0
762,621,High-five Alex,82,Sophie Duker,0,0
763,622,Raise the water level to the top of the fish tank,78,Ardal O'Hanlon,0,0
764,623,Answer Alex's phone call,78,Ardal O'Hanlon,0,0
765,624,Pop balls out of your hole,79,Bridget Christie,0,1
766,625,The most calming item,78,Ardal O'Hanlon,0,0
767,626,Use a cement mixer,80,Chris Ramsey,0,0
768,627,Record a high number on a pedometer,79,Bridget Christie,0,0
769,628,Hold a meeting with yourselves,81,Judi Love,0,0
770,629,Correctly guess the person's first name,82,Sophie Duker,0,1
771,630,Display your vocal range,82,Sophie Duker,0,0
772,631,The nicest thing to put your finger in,78,Ardal O'Hanlon,0,0
773,632,Show off,80,Chris Ramsey,0,0
774,632,Show off,82,Sophie Duker,0,0
775,633,Deliver a cocktail to Greg,79,Bridget Christie,1,0
776,633,Deliver a cocktail to Greg,81,Judi Love,1,0
777,633,Deliver a cocktail to Greg,82,Sophie Duker,1,0
778,634,Create an edible sculpture,79,Bridget Christie,0,0
779,634,Create an edible sculpture,80,Chris Ramsey,0,0
780,634,Create an edible sculpture,82,Sophie Duker,0,0
781,635,Eat your beautiful sculpture,81,Judi Love,0,0
782,636,Build the tallest tower of toilet rolls,82,Sophie Duker,0,1
783,637,The loveliest thing to hold above your head,79,Bridget Christie,0,0
784,637,The loveliest thing to hold above your head,82,Sophie Duker,0,0
785,638,Learn Swedish,78,Ardal O'Hanlon,0,0
786,639,Poke your tongue out for the longest time,82,Sophie Duker,0,0
787,640,Walk through the door wearing the longest shoes and biggest hat,79,Bridget Christie,0,0
788,641,Write down things that fit the category,78,Ardal O'Hanlon,1,1
789,641,Write down things that fit the category,80,Chris Ramsey,1,1
790,642,The best object with a handle,78,Ardal O'Hanlon,0,0
791,643,Get the most surprising thing delivered,80,Chris Ramsey,0,0
792,644,Make the longest cup snake,81,Judi Love,0,0
793,645,Poke a body part out of the shower curtain,80,Chris Ramsey,0,0
794,645,Poke a body part out of the shower curtain,82,Sophie Duker,0,0
795,646,Predict how many cans you can fit in a bag,78,Ardal O'Hanlon,0,1
796,647,The finest family heirloom,79,Bridget Christie,0,0
797,648,Identify the liquids,82,Sophie Duker,0,0
798,649,Get the most ducks in Alex's basket,80,Chris Ramsey,0,0
799,650,Record a multi-track song about your team,79,Bridget Christie,1,0
800,650,Record a multi-track song about your team,81,Judi Love,1,0
801,650,Record a multi-track song about your team,82,Sophie Duker,1,0
802,651,Draw a life-size self portrait with your nose in the canvas,79,Bridget Christie,0,1
803,651,Draw a life-size self portrait with your nose in the canvas,80,Chris Ramsey,0,1
804,653,"The thing that makes everyone go, ""Wow, that really is the greatest thing.""",83,Ed Gamble,0,0
805,654,Feed yourself a grape in the most elaborate way,87,Richard Herring,0,0
806,655,Create a wonderful seaside photo cut-out board,85,Liza Tarbuck,0,0
807,656,Get the duck into the pond,86,Lou Sanders,0,0
808,657,"Suitcase full of bricks, or suitcase full of balloons?",87,Richard Herring,0,1
809,658,The most jaw-dropping item,89,Fern Brady,0,0
810,659,What ten films are you in?,91,Munya Chawawa,0,0
811,660,Land loo roll in the toilet,88,Dara Ó Briain,0,0
812,661,Create the best picture of a bird,91,Munya Chawawa,1,0
813,661,Create the best picture of a bird,92,Sarah Millican,1,0
814,662,Don't pop the balloon,88,Dara Ó Briain,0,1
815,662,Don't pop the balloon,90,John Kearns,0,1
816,663,The best thing you can't throw away,88,Dara Ó Briain,0,0
817,664,"Print, laminate, and distribute the most signs",88,Dara Ó Briain,0,0
818,665,Obey all your signs,88,Dara Ó Briain,0,0
819,665,Obey all your signs,91,Munya Chawawa,0,0
820,666,Put five grapes in the little bowl,88,Dara Ó Briain,0,0
821,667,Sort the ducks and the socks,88,Dara Ó Briain,0,0
822,668,Make the Taskmaster say your words,88,Dara Ó Briain,1,1
823,668,Make the Taskmaster say your words,89,Fern Brady,1,1
824,668,Make the Taskmaster say your words,90,John Kearns,1,1
825,669,The thing you most want on a Sunday morning,90,John Kearns,0,0
826,670,Put the most sand in the shopping trolley,90,John Kearns,1,0
827,670,Put the most sand in the shopping trolley,91,Munya Chawawa,1,0
828,670,Put the most sand in the shopping trolley,92,Sarah Millican,1,0
829,671,Identify the ice cream flavours,88,Dara Ó Briain,0,0
830,672,Catch something,88,Dara Ó Briain,0,0
831,673,Play your sounds right,92,Sarah Millican,0,1
832,674,The greatest addition to a garden,92,Sarah Millican,0,0
833,675,Turn on the bubble machine,92,Sarah Millican,0,0
834,676,Get the tarpaulin into one of the containers,92,Sarah Millican,0,0
835,677,Write a classic song incorporating five wonderful words,92,Sarah Millican,0,0
836,678,Egg and spoon throw,88,Dara Ó Briain,0,1
837,679,The most useless thing that cost over £20,90,John Kearns,0,0
838,680,Get the most pleasure from these rubber chutes,89,Fern Brady,0,0
839,681,Perform the best routine to this music,88,Dara Ó Briain,1,0
840,681,Perform the best routine to this music,89,Fern Brady,1,0
841,681,Perform the best routine to this music,90,John Kearns,1,0
842,682,Luggage trolley bowling,90,John Kearns,0,0
843,683,Communicate animals by saying letters and doing impressions,88,Dara Ó Briain,1,1
844,683,Communicate animals by saying letters and doing impressions,89,Fern Brady,1,1
845,683,Communicate animals by saying letters and doing impressions,90,John Kearns,1,1
846,683,Communicate animals by saying letters and doing impressions,91,Munya Chawawa,1,1
847,683,Communicate animals by saying letters and doing impressions,92,Sarah Millican,1,1
848,684,The best thing you've ever received in the post,92,Sarah Millican,0,0
849,685,Hold the milk bottles above the microwaves,92,Sarah Millican,0,0
850,686,Reach the end of two lanes in the same amount of time,92,Sarah Millican,0,0
851,688,Paint a unicorn using your head brush,88,Dara Ó Briain,0,1
852,689,The thing you'd most like to have on a car journey,92,Sarah Millican,0,0
853,690,Pop 99 red balloons,90,John Kearns,0,0
854,691,Get this feather into the bath,88,Dara Ó Briain,1,0
855,691,Get this feather into the bath,89,Fern Brady,1,0
856,691,Get this feather into the bath,90,John Kearns,1,0
857,692,Hit Bernard with an exercise ball,90,John Kearns,0,0
858,693,Blow an item onto The Knappett,88,Dara Ó Briain,0,1
859,693,Blow an item onto The Knappett,89,Fern Brady,0,1
860,693,Blow an item onto The Knappett,91,Munya Chawawa,0,1
861,693,Blow an item onto The Knappett,92,Sarah Millican,0,1
862,694,The best fancy dress,89,Fern Brady,0,0
863,695,Communicate an instruction in a secret language,91,Munya Chawawa,1,0
864,695,Communicate an instruction in a secret language,92,Sarah Millican,1,0
865,696,Pin an alluring tail on the alluring animal,91,Munya Chawawa,0,0
866,697,Find the back of your hand,91,Munya Chawawa,0,0
867,697,Find the back of your hand,92,Sarah Millican,0,0
868,698,Guess the length of the extendible item,91,Munya Chawawa,1,1
869,698,Guess the length of the extendible item,92,Sarah Millican,1,1
870,699,The most underestimated item,88,Dara Ó Briain,0,0
871,699,The most underestimated item,89,Fern Brady,0,0
872,699,The most underestimated item,92,Sarah Millican,0,0
873,700,"Snort, raspberry, whistle",91,Munya Chawawa,0,0
874,701,"Write a one-minute, one-person play",89,Fern Brady,0,0
875,701,"Write a one-minute, one-person play",90,John Kearns,0,0
876,701,"Write a one-minute, one-person play",92,Sarah Millican,0,0
877,702,"Perform a one-minute, one-person play",88,Dara Ó Briain,0,0
878,702,"Perform a one-minute, one-person play",89,Fern Brady,0,0
879,703,Paint a self portrait with a selected brush on a selected canvas,89,Fern Brady,0,0
880,704,Get your towel in your bucket,88,Dara Ó Briain,0,1
881,705,The thing the Taskmaster would most like to own,90,John Kearns,0,0
882,707,Eat the grape,88,Dara Ó Briain,0,0
883,708,Sculpt your team,91,Munya Chawawa,1,0
884,708,Sculpt your team,92,Sarah Millican,1,0
885,709,"Throw an object, hide an object, and place it on the barrel",88,Dara Ó Briain,0,0
886,710,Land a balloon near the Taskmaster,88,Dara Ó Briain,0,1
887,711,The most surprising thing you own,96,Mo Farah,0,0
888,712,Count all the dots,95,Greg James,0,0
889,713,Recreate the picture from a massage chair,95,Greg James,0,0
890,713,Recreate the picture from a massage chair,97,Rebecca Lucy Taylor,0,0
