id,task,task_label,contestant,contestant_label,PO,base,adjustment,points,rank,episode,series,team,team_label,location,location_label
310,66,The most flamboyant clock,15,Paul Chowdhry,3,1,,1,5,1,1,,,,
311,66,The most flamboyant clock,16,Rob Beckett,4,2,,2,4,2,2,,,,
312,66,The most flamboyant clock,17,Sara Pascoe,5,5,,5,1,5,5,,,,
313,67,Reach the microwave in the fewest steps,13,Al Murray,4=,4,,4,2,8,8,,,,
314,67,Reach the microwave in the fewest steps,14,Dave Gorman,2=,2,,2,4,5,5,,,,
315,67,Reach the microwave in the fewest steps,15,Paul Chowdhry,2=,0,,0,,1,1,,,,
316,67,Reach the microwave in the fewest steps,16,Rob Beckett,1,5,,5,1,7,7,,,,
317,67,Reach the microwave in the fewest steps,17,Sara Pascoe,4=,3,,3,3,8,8,,,,
318,68,Propel a pea along a red carpet,13,Al Murray,5,5,,5,1,13,13,,,,
319,68,Propel a pea along a red carpet,14,Dave Gorman,1=,,,0,,5,5,,,,
320,68,Propel a pea along a red carpet,15,Paul Chowdhry,1=,2,,2,4,3,3,,,,
321,68,Propel a pea along a red carpet,16,Rob Beckett,4,4,,4,2,11,11,,,,
322,68,Propel a pea along a red carpet,17,Sara Pascoe,1=,3,,3,3,11,11,,,,
323,69,Make the best snowman,13,Al Murray,2=,3,,3,3,16,16,,,,
324,69,Make the best snowman,14,Dave Gorman,4,5,,5,1,10,10,,,,
325,69,Make the best snowman,15,Paul Chowdhry,5,1,,1,5,4,4,,,,
326,69,Make the best snowman,16,Rob Beckett,1,2,,2,4,13,13,,,,
327,69,Make the best snowman,17,Sara Pascoe,2=,4,,4,2,15,15,,,,
328,70,Balance swedes on a Swede,13,Al Murray,0,5,,5,1,21,21,,,,
329,70,Balance swedes on a Swede,14,Dave Gorman,0,3,,3,3,13,13,,,,
330,70,Balance swedes on a Swede,15,Paul Chowdhry,0,4,,4,2,8,8,,,,
331,70,Balance swedes on a Swede,16,Rob Beckett,0,2,,2,4,15,15,,,,
332,70,Balance swedes on a Swede,17,Sara Pascoe,0,1,,1,5,16,16,,,,
333,71,The heaviest shoebox-sized item,13,Al Murray,3,3,,3,3,3,24,,,,
334,71,The heaviest shoebox-sized item,14,Dave Gorman,2,5,,5,1,5,18,,,,
335,71,The heaviest shoebox-sized item,15,Paul Chowdhry,1,2,,2,4,2,10,,,,
336,71,The heaviest shoebox-sized item,16,Rob Beckett,5,4,,4,2,4,19,,,,
337,71,The heaviest shoebox-sized item,17,Sara Pascoe,4,1,,1,5,1,17,,,,
338,72,Surprise Alex,13,Al Murray,3,4,,4,2,7,28,,,,
339,72,Surprise Alex,14,Dave Gorman,4,3,,3,3,8,21,,,,
340,72,Surprise Alex,15,Paul Chowdhry,1,1,,1,5,3,11,,,,
341,72,Surprise Alex,16,Rob Beckett,5,5,,5,1,9,24,,,,
342,72,Surprise Alex,17,Sara Pascoe,2,2,,2,4,3,19,,,,
343,73,Release Alex,13,Al Murray,2=,0,,0,,7,28,6,"Al, Dave and Paul",,
344,73,Release Alex,14,Dave Gorman,2=,0,,0,,8,21,6,"Al, Dave and Paul",,
345,73,Release Alex,15,Paul Chowdhry,2=,0,,0,,3,11,6,"Al, Dave and Paul",,
346,73,Release Alex,16,Rob Beckett,1=,5,,5,1=,14,29,5,Rob and Sara,,
347,73,Release Alex,17,Sara Pascoe,1=,5,,5,1=,8,24,5,Rob and Sara,,
348,74,An upside-down condiment self-portrait,13,Al Murray,1=,5,,5,1,12,33,,,,
349,74,An upside-down condiment self-portrait,14,Dave Gorman,1=,3,,3,3,11,24,,,,
350,74,An upside-down condiment self-portrait,15,Paul Chowdhry,1=,2,,2,4=,5,13,,,,
351,74,An upside-down condiment self-portrait,16,Rob Beckett,1=,2,,2,4=,16,31,,,,
352,74,An upside-down condiment self-portrait,17,Sara Pascoe,1=,4,,4,2,12,28,,,,
353,75,Burst all of the balloons,13,Al Murray,5,1,,1,5,13,34,,,,
354,75,Burst all of the balloons,14,Dave Gorman,1=,3,,3,3,14,27,,,,
355,75,Burst all of the balloons,15,Paul Chowdhry,3=,4,,4,2,9,17,,,,
356,75,Burst all of the balloons,16,Rob Beckett,3=,5,,5,1,21,36,,,,
357,75,Burst all of the balloons,17,Sara Pascoe,1=,2,,2,4,14,30,,,,
358,76,Unravel the tape,13,Al Murray,0,5,,5,1,18,39,,,,
359,76,Unravel the tape,14,Dave Gorman,0,3,,3,3,17,30,,,,
360,76,Unravel the tape,15,Paul Chowdhry,0,4,,4,2,13,21,,,,
361,76,Unravel the tape,16,Rob Beckett,0,0,,0,,21,36,,,,
362,76,Unravel the tape,17,Sara Pascoe,0,2,,2,4,16,32,,,,
363,77,The best battery-operated item,13,Al Murray,3,2,,2,4,2,41,,,,
364,77,The best battery-operated item,14,Dave Gorman,1,1,,1,5,1,31,,,,
365,77,The best battery-operated item,15,Paul Chowdhry,5,4,,4,2,4,25,,,,
366,77,The best battery-operated item,16,Rob Beckett,2,5,,5,1,5,41,,,,
367,77,The best battery-operated item,17,Sara Pascoe,4,3,,3,3,3,35,,,,
368,78,Fill an eggcup with sweat,13,Al Murray,4=,,,0,,2,41,,,,
369,78,Fill an eggcup with sweat,14,Dave Gorman,1=,3,,3,3,4,34,,,,
370,78,Fill an eggcup with sweat,15,Paul Chowdhry,3,5,,5,1,9,30,,,,
371,78,Fill an eggcup with sweat,16,Rob Beckett,1=,2,,2,4,7,43,,,,
372,78,Fill an eggcup with sweat,17,Sara Pascoe,4=,4,,4,2,7,39,,,,
373,79,Make the best domino rally,13,Al Murray,4,1,,1,4=,3,42,,,,
374,79,Make the best domino rally,14,Dave Gorman,1,4,,4,2,8,38,,,,
375,79,Make the best domino rally,15,Paul Chowdhry,5,5,,5,1,14,35,,,,
376,79,Make the best domino rally,16,Rob Beckett,3,3,,3,3,10,46,,,,
377,79,Make the best domino rally,17,Sara Pascoe,2,1,,1,4=,8,40,,,,
378,80,Buy a gift for the Taskmaster,13,Al Murray,3,3,,3,3,6,45,,,,
379,80,Buy a gift for the Taskmaster,14,Dave Gorman,2,5,,5,1,13,43,,,,
380,80,Buy a gift for the Taskmaster,15,Paul Chowdhry,5,2,,2,4,16,37,,,,
381,80,Buy a gift for the Taskmaster,16,Rob Beckett,1,4,,4,2,14,50,,,,
382,80,Buy a gift for the Taskmaster,17,Sara Pascoe,4,1,,1,5,9,41,,,,
383,81,Create the best flag meal,13,Al Murray,2,2,,2,4,8,47,,,,
384,81,Create the best flag meal,14,Dave Gorman,3,5,,5,1,18,48,,,,
385,81,Create the best flag meal,15,Paul Chowdhry,5,4,,4,2,20,41,,,,
386,81,Create the best flag meal,16,Rob Beckett,4,1,,1,5,15,51,,,,
387,81,Create the best flag meal,17,Sara Pascoe,1,3,,3,3,12,44,,,,
388,82,Anchor balloons using bread,13,Al Murray,0,1,,1,5,9,48,,,,
389,82,Anchor balloons using bread,14,Dave Gorman,0,3,,3,3,21,51,,,,
390,82,Anchor balloons using bread,15,Paul Chowdhry,0,2,,2,4,22,43,,,,
391,82,Anchor balloons using bread,16,Rob Beckett,0,4,,4,2,19,55,,,,
392,82,Anchor balloons using bread,17,Sara Pascoe,0,5,,5,1,17,49,,,,
393,83,The shiniest thing,13,Al Murray,4,1,,1,5,1,49,,,,
394,83,The shiniest thing,14,Dave Gorman,5,3,,3,3,3,54,,,,
395,83,The shiniest thing,15,Paul Chowdhry,3,5,,5,1,5,48,,,,
396,83,The shiniest thing,16,Rob Beckett,2,2,,2,4,2,57,,,,
397,83,The shiniest thing,17,Sara Pascoe,1,4,,4,2,4,53,,,,
398,84,Spread your clothes far and wide,13,Al Murray,4=,5,,5,1,6,54,,,,
399,84,Spread your clothes far and wide,14,Dave Gorman,2=,3,,3,3,6,57,,,,
400,84,Spread your clothes far and wide,15,Paul Chowdhry,1,1,,1,5,6,49,,,,
401,84,Spread your clothes far and wide,16,Rob Beckett,4=,4,,4,2,6,61,,,,
402,84,Spread your clothes far and wide,17,Sara Pascoe,2=,2,,2,4,6,55,,,,
403,85,Find out the lying old man’s occupation,13,Al Murray,5,5,,5,1,11,59,,,,
404,85,Find out the lying old man’s occupation,14,Dave Gorman,3=,4,,4,2,10,61,,,,
405,85,Find out the lying old man’s occupation,15,Paul Chowdhry,1=,1,,1,5,7,50,,,,
406,85,Find out the lying old man’s occupation,16,Rob Beckett,1=,2,,2,4,8,63,,,,
407,85,Find out the lying old man’s occupation,17,Sara Pascoe,3=,3,,3,3,9,58,,,,
408,86,Create an impressive special effect,13,Al Murray,1=,3,,3,1=,14,62,6,"Al, Dave and Paul",,
409,86,Create an impressive special effect,14,Dave Gorman,1=,3,,3,1=,13,64,6,"Al, Dave and Paul",,
410,86,Create an impressive special effect,15,Paul Chowdhry,1=,3,,3,1=,10,53,6,"Al, Dave and Paul",,
411,86,Create an impressive special effect,16,Rob Beckett,2=,2,,2,2=,10,65,5,Rob and Sara,,
412,86,Create an impressive special effect,17,Sara Pascoe,2=,2,,2,2=,11,60,5,Rob and Sara,,
413,87,Cover yourself in sticky notes,13,Al Murray,0,2,,2,4,16,64,,,,
414,87,Cover yourself in sticky notes,14,Dave Gorman,0,4,,4,2,17,68,,,,
415,87,Cover yourself in sticky notes,15,Paul Chowdhry,0,1,,1,5,11,54,,,,
416,87,Cover yourself in sticky notes,16,Rob Beckett,0,5,,5,1,15,70,,,,
417,87,Cover yourself in sticky notes,17,Sara Pascoe,0,3,,3,3,14,63,,,,
418,88,Have fun on a bouncy castle,15,Paul Chowdhry,1,0,,0,,11,54,,,,
419,89,The most handsome relative,13,Al Murray,3,4,,4,2,4,68,,,,
420,89,The most handsome relative,14,Dave Gorman,5,5,,5,1,5,73,,,,
421,89,The most handsome relative,15,Paul Chowdhry,1,1,,1,4=,1,55,,,,
422,89,The most handsome relative,16,Rob Beckett,4,3,,3,3,3,73,,,,
423,89,The most handsome relative,17,Sara Pascoe,2,1,,1,4=,1,64,,,,
424,90,Move water from one bucket to another,13,Al Murray,5,5,,5,1,9,73,,,,
425,90,Move water from one bucket to another,14,Dave Gorman,3=,,,0,,5,73,,,,
426,90,Move water from one bucket to another,15,Paul Chowdhry,1=,3,,3,3,4,58,,,,
427,90,Move water from one bucket to another,16,Rob Beckett,1=,4,,4,2,7,77,,,,
428,90,Move water from one bucket to another,17,Sara Pascoe,3=,2,1,3,4,4,67,,,,
429,91,Play charades across a river,13,Al Murray,2=,5,,5,1=,14,78,6,"Al, Dave and Paul",,
430,91,Play charades across a river,14,Dave Gorman,2=,5,,5,1=,10,78,6,"Al, Dave and Paul",,
431,91,Play charades across a river,15,Paul Chowdhry,2=,5,,5,1=,9,63,6,"Al, Dave and Paul",,
432,91,Play charades across a river,16,Rob Beckett,1=,0,,0,,7,77,5,Rob and Sara,,
433,91,Play charades across a river,17,Sara Pascoe,1=,0,,0,,4,67,5,Rob and Sara,,
434,92,Create an impressive time-lapse or slow motion film,13,Al Murray,3,2,,2,5,16,80,,,,
435,92,Create an impressive time-lapse or slow motion film,14,Dave Gorman,1,3,,3,3=,13,81,,,,
436,92,Create an impressive time-lapse or slow motion film,15,Paul Chowdhry,4,3,,3,3=,12,66,,,,
437,92,Create an impressive time-lapse or slow motion film,16,Rob Beckett,5,5,,5,1=,12,82,,,,
438,92,Create an impressive time-lapse or slow motion film,17,Sara Pascoe,2,5,,5,1=,9,72,,,,
439,93,The lowest unique number of doughnuts,13,Al Murray,1,0,,0,,16,80,,,,
440,93,The lowest unique number of doughnuts,14,Dave Gorman,2,0,,0,,13,81,,,,
441,93,The lowest unique number of doughnuts,15,Paul Chowdhry,3,0,,0,,12,66,,,,
442,93,The lowest unique number of doughnuts,16,Rob Beckett,4,5,,5,1,17,87,,,,
443,93,The lowest unique number of doughnuts,17,Sara Pascoe,5,0,,0,,9,72,,,,
444,94,The most interesting vegetable autograph,18,Hugh Dennis,1,1,,1,5,1,1,,,,
445,94,The most interesting vegetable autograph,19,Joe Lycett,2,2,,2,4,2,2,,,,
446,94,The most interesting vegetable autograph,20,Lolly Adefope,3,3,,3,3,3,3,,,,
447,94,The most interesting vegetable autograph,21,Mel Giedroyc,4,4,,4,2,4,4,,,,
448,94,The most interesting vegetable autograph,22,Noel Fielding,5,5,,5,1,5,5,,,,
449,95,Beautifully destroy a cake,18,Hugh Dennis,1,1,,1,5,2,2,,,,
450,95,Beautifully destroy a cake,19,Joe Lycett,3,5,,5,1,7,7,,,,
451,95,Beautifully destroy a cake,20,Lolly Adefope,2,2,,2,4,5,5,,,,
452,95,Beautifully destroy a cake,21,Mel Giedroyc,5,3,,3,3,7,7,,,,
453,95,Beautifully destroy a cake,22,Noel Fielding,4,4,,4,2,9,9,,,,
454,96,Draw a blind portrait,18,Hugh Dennis,5,1,1,2,5,4,4,,,,
455,96,Draw a blind portrait,19,Joe Lycett,1=,4,,4,2,11,11,,,,
456,96,Draw a blind portrait,20,Lolly Adefope,1=,3,,3,3,8,8,,,,
457,96,Draw a blind portrait,21,Mel Giedroyc,1=,2,1,3,4,10,10,,,,
458,96,Draw a blind portrait,22,Noel Fielding,1=,5,,5,1,14,14,,,,
459,97,Fell all the ducks,18,Hugh Dennis,2,5,,5,1,9,9,,,,
460,97,Fell all the ducks,19,Joe Lycett,1,3,,3,3,14,14,,,,
461,97,Fell all the ducks,20,Lolly Adefope,5,4,,4,2,12,12,,,,
462,97,Fell all the ducks,21,Mel Giedroyc,3=,1,,1,5,11,11,,,,
463,97,Fell all the ducks,22,Noel Fielding,3=,2,,2,4,16,16,,,,
464,98,Make the most fruit juice,18,Hugh Dennis,0,4,,4,2,13,13,,,,
465,98,Make the most fruit juice,19,Joe Lycett,0,3,,3,3,17,17,,,,
466,98,Make the most fruit juice,20,Lolly Adefope,0,1,,1,5,13,13,,,,
467,98,Make the most fruit juice,21,Mel Giedroyc,0,5,,5,1,16,16,,,,
468,98,Make the most fruit juice,22,Noel Fielding,0,2,,2,4,18,18,,,,
469,99,The most boastful item,18,Hugh Dennis,4,1,,1,5,1,14,,,,
470,99,The most boastful item,19,Joe Lycett,5,2,,2,4,2,19,,,,
471,99,The most boastful item,20,Lolly Adefope,2,4,,4,2,4,17,,,,
472,99,The most boastful item,21,Mel Giedroyc,3,3,,3,3,3,19,,,,
473,99,The most boastful item,22,Noel Fielding,1,5,,5,1,5,23,,,,
474,100,Keep the basketball on the treadmill,18,Hugh Dennis,5,5,,5,1,6,19,,,,
475,100,Keep the basketball on the treadmill,19,Joe Lycett,1=,2,,2,4,4,21,,,,
476,100,Keep the basketball on the treadmill,20,Lolly Adefope,3=,4,,4,2,8,21,,,,
477,100,Keep the basketball on the treadmill,21,Mel Giedroyc,3=,3,,3,3,6,22,,,,
478,100,Keep the basketball on the treadmill,22,Noel Fielding,1=,1,,1,5,6,24,,,,
479,101,Paint a portrait of the Taskmaster without touching the red mat,18,Hugh Dennis,3,,,0,,6,19,,,,
480,101,Paint a portrait of the Taskmaster without touching the red mat,19,Joe Lycett,1=,4,,4,2,8,25,,,,
481,101,Paint a portrait of the Taskmaster without touching the red mat,20,Lolly Adefope,1=,2,,2,4,10,23,,,,
482,101,Paint a portrait of the Taskmaster without touching the red mat,21,Mel Giedroyc,4=,3,,3,3,9,25,,,,
483,101,Paint a portrait of the Taskmaster without touching the red mat,22,Noel Fielding,4=,5,,5,1,11,29,,,,
484,102,Get the flour onto the target,18,Hugh Dennis,1=,5,,5,1=,11,24,7,Hugh and Mel,,
485,102,Get the flour onto the target,19,Joe Lycett,2=,,,0,,8,25,8,"Joe, Lolly and Noel",,
486,102,Get the flour onto the target,20,Lolly Adefope,2=,,,0,,10,23,8,"Joe, Lolly and Noel",,
487,102,Get the flour onto the target,21,Mel Giedroyc,1=,5,,5,1=,14,30,7,Hugh and Mel,,
488,102,Get the flour onto the target,22,Noel Fielding,2=,,,0,,11,29,8,"Joe, Lolly and Noel",,
489,103,Put an egg in an egg cup without touching either,18,Hugh Dennis,3,2,,2,4,13,26,,,,
490,103,Put an egg in an egg cup without touching either,19,Joe Lycett,1=,3,,3,3,11,28,,,,
491,103,Put an egg in an egg cup without touching either,20,Lolly Adefope,4,5,,5,1,15,28,,,,
492,103,Put an egg in an egg cup without touching either,21,Mel Giedroyc,5,1,,1,5,15,31,,,,
493,103,Put an egg in an egg cup without touching either,22,Noel Fielding,1=,4,,4,2,15,33,,,,
494,104,Make the longest balloon chain,18,Hugh Dennis,0,4,,4,2,17,30,,,,
495,104,Make the longest balloon chain,19,Joe Lycett,0,2,,2,5,13,30,,,,
496,104,Make the longest balloon chain,20,Lolly Adefope,0,3,,3,3=,18,31,,,,
497,104,Make the longest balloon chain,21,Mel Giedroyc,0,5,,5,1,20,36,,,,
498,104,Make the longest balloon chain,22,Noel Fielding,0,3,,3,3=,18,36,,,,
499,105,The best subscription,18,Hugh Dennis,4,1,,1,5,1,31,,,,
500,105,The best subscription,19,Joe Lycett,5,3,,3,3,3,33,,,,
501,105,The best subscription,20,Lolly Adefope,2,4,,4,2,4,35,,,,
502,105,The best subscription,21,Mel Giedroyc,1,2,,2,4,2,38,,,,
503,105,The best subscription,22,Noel Fielding,3,5,,5,1,5,41,,,,
504,106,Camouflage yourself,18,Hugh Dennis,1,4,,4,2=,5,35,,,,
505,106,Camouflage yourself,19,Joe Lycett,3,4,,4,2=,7,37,,,,
506,106,Camouflage yourself,20,Lolly Adefope,2,2,,2,4,6,37,,,,
507,106,Camouflage yourself,21,Mel Giedroyc,4,1,,1,5,3,39,,,,
508,106,Camouflage yourself,22,Noel Fielding,5,5,,5,1,10,46,,,,
509,107,Make a Taskmaster movie trailer,18,Hugh Dennis,1=,3,,3,1=,8,38,7,Hugh and Mel,,
510,107,Make a Taskmaster movie trailer,19,Joe Lycett,2=,2,,2,2=,9,39,8,"Joe, Lolly and Noel",,
511,107,Make a Taskmaster movie trailer,20,Lolly Adefope,2=,2,,2,2=,8,39,8,"Joe, Lolly and Noel",,
512,107,Make a Taskmaster movie trailer,21,Mel Giedroyc,1=,3,,3,1=,6,42,7,Hugh and Mel,,
513,107,Make a Taskmaster movie trailer,22,Noel Fielding,2=,2,,2,2=,12,48,8,"Joe, Lolly and Noel",,
514,108,Persuade three animals to stand on the mat,18,Hugh Dennis,3=,3,,3,3,11,41,,,,
515,108,Persuade three animals to stand on the mat,19,Joe Lycett,3=,5,,5,1,14,44,,,,
516,108,Persuade three animals to stand on the mat,20,Lolly Adefope,1,2,2,4,4,12,43,,,,
517,108,Persuade three animals to stand on the mat,21,Mel Giedroyc,2,1,,1,5,7,43,,,,
518,108,Persuade three animals to stand on the mat,22,Noel Fielding,3=,4,,4,2,16,52,,,,
519,109,Transfer water from one fishbowl to another,18,Hugh Dennis,4=,4,,4,2,15,45,,,,
520,109,Transfer water from one fishbowl to another,19,Joe Lycett,4=,5,-5,0,1,14,44,,,,
521,109,Transfer water from one fishbowl to another,20,Lolly Adefope,1,,,0,,12,43,,,,
522,109,Transfer water from one fishbowl to another,21,Mel Giedroyc,2=,1,-5,-4,4,3,39,,,,
523,109,Transfer water from one fishbowl to another,22,Noel Fielding,2=,3,,3,3,19,55,,,,
524,110,Musical words,18,Hugh Dennis,5,0,,0,,15,45,,,,
525,110,Musical words,19,Joe Lycett,4,5,,5,1,19,49,,,,
526,110,Musical words,20,Lolly Adefope,3,0,,0,,12,43,,,,
527,110,Musical words,21,Mel Giedroyc,2,0,,0,,3,39,,,,
528,110,Musical words,22,Noel Fielding,1,0,,0,,19,55,,,,
529,111,Decant wine from one bottle to another,19,Joe Lycett,1=,0,,0,,19,49,,,,
530,111,Decant wine from one bottle to another,22,Noel Fielding,1=,0,,0,,19,55,,,,
531,112,The most surprising picture of yourself,18,Hugh Dennis,2,1,,1,5,1,46,,,,
532,112,The most surprising picture of yourself,19,Joe Lycett,1,4,,4,2,4,53,,,,
533,112,The most surprising picture of yourself,20,Lolly Adefope,5,5,,5,1,5,48,,,,
534,112,The most surprising picture of yourself,21,Mel Giedroyc,3,3,,3,3,3,42,,,,
535,112,The most surprising picture of yourself,22,Noel Fielding,4,2,,2,4,2,57,,,,
536,113,Make the highest splash,18,Hugh Dennis,1=,2,,2,4,3,48,,,,
537,113,Make the highest splash,19,Joe Lycett,1=,3,,3,3,7,56,,,,
538,113,Make the highest splash,20,Lolly Adefope,4=,1,,1,5,6,49,,,,
539,113,Make the highest splash,21,Mel Giedroyc,4=,4,,4,2,7,46,,,,
540,113,Make the highest splash,22,Noel Fielding,1=,5,,5,1,7,62,,,,
541,114,Ringtone choreography,18,Hugh Dennis,5,1,,1,5,4,49,,,,
542,114,Ringtone choreography,19,Joe Lycett,3=,2,,2,4,9,58,,,,
543,114,Ringtone choreography,20,Lolly Adefope,3=,3,,3,3,9,52,,,,
544,114,Ringtone choreography,21,Mel Giedroyc,1,5,,5,1=,12,51,,,,
545,114,Ringtone choreography,22,Noel Fielding,2,5,,5,1=,12,67,,,,
546,115,Make the best toilet paper celebrity portrait,18,Hugh Dennis,2,3,,3,3,7,52,,,,
547,115,Make the best toilet paper celebrity portrait,19,Joe Lycett,4,4,,4,2,13,62,,,,
548,115,Make the best toilet paper celebrity portrait,20,Lolly Adefope,1,2,,2,4=,11,54,,,,
549,115,Make the best toilet paper celebrity portrait,21,Mel Giedroyc,5,2,,2,4=,14,53,,,,
550,115,Make the best toilet paper celebrity portrait,22,Noel Fielding,3,5,,5,1,17,72,,,,
551,116,Do something incredible with a pommel horse,18,Hugh Dennis,1=,5,,5,1=,12,57,,,,
552,116,Do something incredible with a pommel horse,19,Joe Lycett,3,3,,3,3=,16,65,,,,
553,116,Do something incredible with a pommel horse,20,Lolly Adefope,1=,1,,1,5,12,55,,,,
554,116,Do something incredible with a pommel horse,21,Mel Giedroyc,4,5,,5,1=,19,58,,,,
555,116,Do something incredible with a pommel horse,22,Noel Fielding,5,3,,3,3=,20,75,,,,
556,117,Make the tallest tube tower,18,Hugh Dennis,0,5,,5,1=,17,62,,,,
557,117,Make the tallest tube tower,19,Joe Lycett,0,3,,3,3=,19,68,,,,
558,117,Make the tallest tube tower,20,Lolly Adefope,0,3,,3,3=,15,58,,,,
559,117,Make the tallest tube tower,21,Mel Giedroyc,0,5,,5,1=,24,63,,,,
560,117,Make the tallest tube tower,22,Noel Fielding,0,3,,3,3=,23,78,,,,
561,118,The cutest thing,18,Hugh Dennis,4,1,,1,5,1,63,,,,
562,118,The cutest thing,19,Joe Lycett,3,4,,4,2,4,72,,,,
563,118,The cutest thing,20,Lolly Adefope,1,5,,5,1,5,63,,,,
564,118,The cutest thing,21,Mel Giedroyc,5,2,,2,4,2,65,,,,
565,118,The cutest thing,22,Noel Fielding,2,3,,3,3,3,81,,,,
566,119,Slide as far as possible,18,Hugh Dennis,3,4,,4,2,5,67,,,,
567,119,Slide as far as possible,19,Joe Lycett,1=,2,,2,4,6,74,,,,
568,119,Slide as far as possible,20,Lolly Adefope,1=,1,,1,5,6,64,,,,
569,119,Slide as far as possible,21,Mel Giedroyc,5,5,,5,1,7,70,,,,
570,119,Slide as far as possible,22,Noel Fielding,4,3,,3,3,6,84,,,,
571,120,Don the diving gear while maintaining eye contact and small talk,18,Hugh Dennis,3=,3,,3,3,8,70,,,,
572,120,Don the diving gear while maintaining eye contact and small talk,19,Joe Lycett,1=,4,1,5,2,11,79,,,,
573,120,Don the diving gear while maintaining eye contact and small talk,20,Lolly Adefope,3=,5,,5,1,11,69,,,,
574,120,Don the diving gear while maintaining eye contact and small talk,21,Mel Giedroyc,1=,2,,2,4,9,72,,,,
575,120,Don the diving gear while maintaining eye contact and small talk,22,Noel Fielding,5,,1,1,,7,85,,,,
576,121,Do incompatible things with the bathtub,18,Hugh Dennis,1=,5,,5,1=,13,75,7,Hugh and Mel,,
577,121,Do incompatible things with the bathtub,19,Joe Lycett,2=,0,,0,,11,79,8,"Joe, Lolly and Noel",,
578,121,Do incompatible things with the bathtub,20,Lolly Adefope,2=,0,,0,,11,69,8,"Joe, Lolly and Noel",,
579,121,Do incompatible things with the bathtub,21,Mel Giedroyc,1=,5,,5,1=,14,77,7,Hugh and Mel,,
580,121,Do incompatible things with the bathtub,22,Noel Fielding,2=,0,,0,,7,85,8,"Joe, Lolly and Noel",,
581,122,Throw something into something,18,Hugh Dennis,1=,3,,3,3,16,78,,,,
582,122,Throw something into something,19,Joe Lycett,1=,2,,2,4,13,81,,,,
583,122,Throw something into something,20,Lolly Adefope,1=,1,,1,5,12,70,,,,
584,122,Throw something into something,21,Mel Giedroyc,5,5,,5,1,19,82,,,,
585,122,Throw something into something,22,Noel Fielding,4,4,,4,2,11,89,,,,
586,123,Make the longest continuous noise,18,Hugh Dennis,5,4,1,5,2,21,83,,,,
587,123,Make the longest continuous noise,19,Joe Lycett,4,5,,5,1,18,86,,,,
588,123,Make the longest continuous noise,20,Lolly Adefope,3,3,,3,3,15,73,,,,
589,123,Make the longest continuous noise,21,Mel Giedroyc,2,2,,2,4,21,84,,,,
590,123,Make the longest continuous noise,22,Noel Fielding,1,1,,1,5,12,90,,,,
591,124,Eat as many peas as possible,18,Hugh Dennis,1=,0,,0,,21,83,,,,
592,124,Eat as many peas as possible,21,Mel Giedroyc,1=,0,,0,,21,84,,,,
593,125,The best sheep-related item,18,Hugh Dennis,3,2,,2,4,2,85,,,,
594,125,The best sheep-related item,19,Joe Lycett,4,3,,3,2=,3,89,,,,
595,125,The best sheep-related item,20,Lolly Adefope,5,5,,5,1,5,78,,,,
596,125,The best sheep-related item,21,Mel Giedroyc,2,1,,1,5,1,85,,,,
597,125,The best sheep-related item,22,Noel Fielding,1,3,,3,2=,3,93,,,,
598,126,Pass a camel through a small gap,18,Hugh Dennis,3=,4,,4,2,6,89,,,,
599,126,Pass a camel through a small gap,19,Joe Lycett,3=,2,,2,4,5,91,,,,
600,126,Pass a camel through a small gap,20,Lolly Adefope,1,3,,3,3,8,81,,,,
601,126,Pass a camel through a small gap,21,Mel Giedroyc,5,5,,5,1,6,90,,,,
602,126,Pass a camel through a small gap,22,Noel Fielding,2,1,,1,5,4,94,,,,
603,127,Score a goal with a shopping bag,18,Hugh Dennis,5,5,,5,1,11,94,,,,
604,127,Score a goal with a shopping bag,19,Joe Lycett,3=,2,1,3,4,8,94,,,,
605,127,Score a goal with a shopping bag,20,Lolly Adefope,1=,3,,3,3,11,84,,,,
606,127,Score a goal with a shopping bag,21,Mel Giedroyc,3=,4,,4,2,10,94,,,,
607,127,Score a goal with a shopping bag,22,Noel Fielding,1=,1,,1,5,5,95,,,,
608,128,Hide the giant beach ball,21,Mel Giedroyc,1,0,,0,,10,94,,,,
609,129,Fill the giant beach ball,21,Mel Giedroyc,1,0,,0,,10,94,,,,
610,130,Score a goal with the giant beach ball,21,Mel Giedroyc,1,0,,0,,10,94,,,,
611,131,Identify the contents of the sleeping bag,18,Hugh Dennis,3,,,0,,11,94,,,,
612,131,Identify the contents of the sleeping bag,19,Joe Lycett,4,5,,5,1=,13,99,,,,
613,131,Identify the contents of the sleeping bag,20,Lolly Adefope,1=,5,,5,1=,16,89,,,,
614,131,Identify the contents of the sleeping bag,21,Mel Giedroyc,5,2,,2,4,12,96,,,,
615,131,Identify the contents of the sleeping bag,22,Noel Fielding,1=,5,,5,1=,10,100,,,,
616,132,Prepare the items / Lift all the items in one hand,18,Hugh Dennis,0,2,,2,4,13,96,,,,
617,132,Prepare the items / Lift all the items in one hand,19,Joe Lycett,0,1,,1,5,14,100,,,,
618,132,Prepare the items / Lift all the items in one hand,20,Lolly Adefope,0,3,,3,3,19,92,,,,
619,132,Prepare the items / Lift all the items in one hand,21,Mel Giedroyc,0,4,,4,2,16,100,,,,
620,132,Prepare the items / Lift all the items in one hand,22,Noel Fielding,0,5,,5,1,15,105,,,,
621,133,The best chair,18,Hugh Dennis,4,5,,5,1,5,101,,,,
