id,task,task_label,contestant,contestant_label,measurement,objective,objective_label
355,134,Cross the bunting to give Alex his lunch,18,Hugh Dennis,0.0,36,penalties ▼
356,134,Cross the bunting to give Alex his lunch,18,Hugh Dennis,108.0,2,time ▼
357,134,Cross the bunting to give Alex his lunch,19,Joe Lycett,4.0,36,penalties ▼
358,134,Cross the bunting to give Alex his lunch,19,Joe Lycett,121.0,2,time ▼
359,134,Cross the bunting to give Alex his lunch,20,Lolly Adefope,6.0,36,penalties ▼
360,134,Cross the bunting to give Alex his lunch,20,Lolly Adefope,?,2,time ▼
361,134,Cross the bunting to give Alex his lunch,21,Mel Giedroyc,5.0,36,penalties ▼
362,134,Cross the bunting to give Alex his lunch,21,Mel Giedroyc,170.0,2,time ▼
363,134,Cross the bunting to give Alex his lunch,22,Noel Fielding,1.0,36,penalties ▼
364,134,Cross the bunting to give Alex his lunch,22,Noel Fielding,51.1,2,time ▼
365,135,Hide from Alex,18,Hugh Dennis,69.0,35,time ▲
366,135,Hide from Alex,19,Joe Lycett,69.0,35,time ▲
367,135,Hide from Alex,20,Lolly Adefope,1380.0,35,time ▲
368,135,Hide from Alex,21,Mel Giedroyc,154.0,35,time ▲
369,135,Hide from Alex,22,Noel Fielding,16.0,35,time ▲
370,136,Wheelie bin obstacle course,18,Hugh Dennis,399.0,2,time ▼
371,136,Wheelie bin obstacle course,19,Joe Lycett,363.0,2,time ▼
372,136,Wheelie bin obstacle course,20,Lolly Adefope,363.0,2,time ▼
373,136,Wheelie bin obstacle course,21,Mel Giedroyc,399.0,2,time ▼
374,136,Wheelie bin obstacle course,22,Noel Fielding,363.0,2,time ▼
375,139,Open the jar of mayonnaise,18,Hugh Dennis,?,2,time ▼
376,139,Open the jar of mayonnaise,19,Joe Lycett,0.0,2,time ▼
377,139,Open the jar of mayonnaise,20,Lolly Adefope,?,2,time ▼
378,140,The most cash,18,Hugh Dennis,72.2,43,£ ▲
379,140,The most cash,19,Joe Lycett,250.0,43,£ ▲
380,140,The most cash,20,Lolly Adefope,2000.0,43,£ ▲
381,140,The most cash,21,Mel Giedroyc,240.0,43,£ ▲
382,140,The most cash,22,Noel Fielding,?,43,£ ▲
383,143,Strike an item the farthest,18,Hugh Dennis,24.0,4,meters ▲
384,143,Strike an item the farthest,19,Joe Lycett,18.45,4,meters ▲
385,143,Strike an item the farthest,20,Lolly Adefope,0.25,4,meters ▲
386,143,Strike an item the farthest,21,Mel Giedroyc,8.12,4,meters ▲
387,143,Strike an item the farthest,22,Noel Fielding,29.0,4,meters ▲
388,145,Draw the median duck,18,Hugh Dennis,21.0,44,inches ◀
389,145,Draw the median duck,19,Joe Lycett,?,44,inches ◀
390,145,Draw the median duck,20,Lolly Adefope,6.0,44,inches ◀
391,145,Draw the median duck,21,Mel Giedroyc,13.0,44,inches ◀
392,145,Draw the median duck,22,Noel Fielding,13.5,44,inches ◀
393,148,Get Alex to dry land,23,Aisling Bea,502.0,2,time ▼
394,148,Get Alex to dry land,24,Bob Mortimer,757.0,2,time ▼
395,148,Get Alex to dry land,25,Mark Watson,1065.0,2,time ▼
396,148,Get Alex to dry land,26,Nish Kumar,245.0,2,time ▼
397,148,Get Alex to dry land,27,Sally Phillips,612.0,2,time ▼
398,149,Score a basket without your hands,23,Aisling Bea,188.0,2,time ▼
399,149,Score a basket without your hands,24,Bob Mortimer,179.0,2,time ▼
400,149,Score a basket without your hands,25,Mark Watson,180.0,2,time ▼
401,149,Score a basket without your hands,26,Nish Kumar,1699.0,2,time ▼
402,149,Score a basket without your hands,27,Sally Phillips,,2,time ▼
403,150,Get some fruit into the bowl,23,Aisling Bea,,2,time ▼
404,150,Get some fruit into the bowl,24,Bob Mortimer,20.0,2,time ▼
405,150,Get some fruit into the bowl,25,Mark Watson,12.0,2,time ▼
406,150,Get some fruit into the bowl,26,Nish Kumar,69.0,2,time ▼
407,150,Get some fruit into the bowl,27,Sally Phillips,220.0,2,time ▼
408,152,Make a coconut-flinging machine,23,Aisling Bea,4.4,4,meters ▲
409,152,Make a coconut-flinging machine,24,Bob Mortimer,16.2,4,meters ▲
410,152,Make a coconut-flinging machine,25,Mark Watson,18.9,4,meters ▲
411,152,Make a coconut-flinging machine,26,Nish Kumar,5.3,4,meters ▲
412,152,Make a coconut-flinging machine,27,Sally Phillips,5.5,4,meters ▲
413,158,Retrieve the table tennis ball from the tube,23,Aisling Bea,,2,time ▼
414,158,Retrieve the table tennis ball from the tube,24,Bob Mortimer,493.0,2,time ▼
415,158,Retrieve the table tennis ball from the tube,25,Mark Watson,1390.0,2,time ▼
416,158,Retrieve the table tennis ball from the tube,26,Nish Kumar,2662.0,2,time ▼
417,158,Retrieve the table tennis ball from the tube,27,Sally Phillips,765.0,2,time ▼
418,160,"Eat one item, balance one item, throw one item",23,Aisling Bea,270.0,2,time ▼
419,160,"Eat one item, balance one item, throw one item",24,Bob Mortimer,240.0,2,time ▼
420,160,"Eat one item, balance one item, throw one item",25,Mark Watson,260.0,2,time ▼
421,160,"Eat one item, balance one item, throw one item",26,Nish Kumar,,2,time ▼
422,160,"Eat one item, balance one item, throw one item",27,Sally Phillips,121.0,2,time ▼
423,165,Blow up a balloon to the size of a cucumber,23,Aisling Bea,19.0,45,difference in centimeters ▼
424,165,Blow up a balloon to the size of a cucumber,24,Bob Mortimer,10.0,45,difference in centimeters ▼
425,165,Blow up a balloon to the size of a cucumber,25,Mark Watson,1.5,45,difference in centimeters ▼
426,165,Blow up a balloon to the size of a cucumber,26,Nish Kumar,30.0,45,difference in centimeters ▼
427,165,Blow up a balloon to the size of a cucumber,27,Sally Phillips,20.0,45,difference in centimeters ▼
428,166,Spot the difference,23,Aisling Bea,5.0,46,spotted differences ▲
429,166,Spot the difference,24,Bob Mortimer,2.0,46,spotted differences ▲
430,166,Spot the difference,25,Mark Watson,3.0,46,spotted differences ▲
431,166,Spot the difference,26,Nish Kumar,3.0,46,spotted differences ▲
432,166,Spot the difference,27,Sally Phillips,2.0,46,spotted differences ▲
433,167,Sneeze the fastest,23,Aisling Bea,,2,time ▼
434,167,Sneeze the fastest,24,Bob Mortimer,601.0,2,time ▼
435,167,Sneeze the fastest,25,Mark Watson,172800.0,2,time ▼
436,167,Sneeze the fastest,26,Nish Kumar,,2,time ▼
437,167,Sneeze the fastest,27,Sally Phillips,,2,time ▼
438,169,Backthrow a picture of a Swede into a bin,23,Aisling Bea,66.0,47,attempts ▼
439,169,Backthrow a picture of a Swede into a bin,25,Mark Watson,15.0,47,attempts ▼
440,174,Build a can tower & greet Alex from different countries,23,Aisling Bea,1.0,48,cans ▲
441,174,Build a can tower & greet Alex from different countries,24,Bob Mortimer,6.0,48,cans ▲
442,174,Build a can tower & greet Alex from different countries,25,Mark Watson,6.0,48,cans ▲
443,174,Build a can tower & greet Alex from different countries,26,Nish Kumar,5.0,48,cans ▲
444,174,Build a can tower & greet Alex from different countries,27,Sally Phillips,2.0,48,cans ▲
445,175,Identify the Finns,23,Aisling Bea,1.0,49,identified Finns minus non-Finns ▲
446,175,Identify the Finns,24,Bob Mortimer,-1.0,49,identified Finns minus non-Finns ▲
447,175,Identify the Finns,25,Mark Watson,2.0,49,identified Finns minus non-Finns ▲
448,175,Identify the Finns,26,Nish Kumar,1.0,49,identified Finns minus non-Finns ▲
449,175,Identify the Finns,27,Sally Phillips,-1.0,49,identified Finns minus non-Finns ▲
450,177,Balance Alex on a see-saw,23,Aisling Bea,?,27,kilograms ▲
451,177,Balance Alex on a see-saw,24,Bob Mortimer,32.0,27,kilograms ▲
452,177,Balance Alex on a see-saw,25,Mark Watson,7.2,27,kilograms ▲
453,177,Balance Alex on a see-saw,26,Nish Kumar,25.2,27,kilograms ▲
454,177,Balance Alex on a see-saw,27,Sally Phillips,20.16,27,kilograms ▲
455,180,Light a candle using a cupcake,23,Aisling Bea,,2,time ▼
456,180,Light a candle using a cupcake,24,Bob Mortimer,185.0,2,time ▼
457,180,Light a candle using a cupcake,25,Mark Watson,,2,time ▼
458,180,Light a candle using a cupcake,26,Nish Kumar,,2,time ▼
459,180,Light a candle using a cupcake,27,Sally Phillips,,2,time ▼
460,182,Kick yoghurt at a target,24,Bob Mortimer,0.0,50,bull's-eyed yoghurt ▲
461,182,Kick yoghurt at a target,27,Sally Phillips,0.0,50,bull's-eyed yoghurt ▲
462,184,Travel blindfolded for three minutes and retrace your steps,23,Aisling Bea,64.0,51,meters off target ▼
463,184,Travel blindfolded for three minutes and retrace your steps,24,Bob Mortimer,0.0,51,meters off target ▼
464,184,Travel blindfolded for three minutes and retrace your steps,25,Mark Watson,140.0,51,meters off target ▼
465,184,Travel blindfolded for three minutes and retrace your steps,26,Nish Kumar,195.0,51,meters off target ▼
466,184,Travel blindfolded for three minutes and retrace your steps,27,Sally Phillips,74.0,51,meters off target ▼
467,185,Coconut bobsleigh,23,Aisling Bea,14.0,52,team members ▲
468,185,Coconut bobsleigh,24,Bob Mortimer,,52,team members ▲
469,185,Coconut bobsleigh,25,Mark Watson,2.0,52,team members ▲
470,185,Coconut bobsleigh,26,Nish Kumar,13.0,52,team members ▲
471,185,Coconut bobsleigh,27,Sally Phillips,,52,team members ▲
472,186,Vote for who should receive five points,23,Aisling Bea,0.0,53,votes ▲
473,186,Vote for who should receive five points,24,Bob Mortimer,1.0,53,votes ▲
474,186,Vote for who should receive five points,25,Mark Watson,1.0,53,votes ▲
475,186,Vote for who should receive five points,26,Nish Kumar,1.0,53,votes ▲
476,186,Vote for who should receive five points,27,Sally Phillips,2.0,53,votes ▲
477,188,Zipwire items to the Taskmaster,23,Aisling Bea,2.0,54,zip-lined items ▲
478,188,Zipwire items to the Taskmaster,24,Bob Mortimer,8.0,54,zip-lined items ▲
479,188,Zipwire items to the Taskmaster,25,Mark Watson,5.0,54,zip-lined items ▲
480,188,Zipwire items to the Taskmaster,26,Nish Kumar,4.0,54,zip-lined items ▲
481,188,Zipwire items to the Taskmaster,27,Sally Phillips,0.0,54,zip-lined items ▲
482,190,Transport a coconut as far as possible,23,Aisling Bea,?,4,meters ▲
483,190,Transport a coconut as far as possible,24,Bob Mortimer,33.0,4,meters ▲
484,190,Transport a coconut as far as possible,25,Mark Watson,,4,meters ▲
485,190,Transport a coconut as far as possible,26,Nish Kumar,0.1,4,meters ▲
486,190,Transport a coconut as far as possible,27,Sally Phillips,1770.0,4,meters ▲
487,192,Make the most fish puns,1,Alex Horne,11.0,55,fish puns ▲
488,192,Make the most fish puns,27,Sally Phillips,8.0,55,fish puns ▲
489,194,Throw an egg through a basketball hoop,23,Aisling Bea,0.0,56,caught makes ▲
490,194,Throw an egg through a basketball hoop,24,Bob Mortimer,1.0,56,caught makes ▲
491,194,Throw an egg through a basketball hoop,25,Mark Watson,0.0,56,caught makes ▲
492,194,Throw an egg through a basketball hoop,26,Nish Kumar,0.0,56,caught makes ▲
493,194,Throw an egg through a basketball hoop,27,Sally Phillips,0.9,56,caught makes ▲
494,196,Throw an exercise ball into a bath or put the coconuts in a trolley,28,Bob Mortimer,512.0,2,time ▼
495,196,Throw an exercise ball into a bath or put the coconuts in a trolley,29,Josh Widdicombe,660.0,2,time ▼
496,196,Throw an exercise ball into a bath or put the coconuts in a trolley,30,Katherine Ryan,334.0,2,time ▼
497,196,Throw an exercise ball into a bath or put the coconuts in a trolley,31,Noel Fielding,89.0,2,time ▼
498,196,Throw an exercise ball into a bath or put the coconuts in a trolley,32,Rob Beckett,112.0,2,time ▼
499,199,The second longest T-word,28,Bob Mortimer,0.0,57,descended steps ▲
500,199,The second longest T-word,29,Josh Widdicombe,1.0,57,descended steps ▲
501,199,The second longest T-word,30,Katherine Ryan,1.0,57,descended steps ▲
502,199,The second longest T-word,31,Noel Fielding,3.0,57,descended steps ▲
503,199,The second longest T-word,32,Rob Beckett,1.0,57,descended steps ▲
504,202,Find out what’s in the briefcase,28,Bob Mortimer,462.0,2,time ▼
505,202,Find out what’s in the briefcase,29,Josh Widdicombe,330.0,2,time ▼
506,202,Find out what’s in the briefcase,30,Katherine Ryan,843.0,2,time ▼
507,202,Find out what’s in the briefcase,31,Noel Fielding,199.0,2,time ▼
508,202,Find out what’s in the briefcase,32,Rob Beckett,345.0,2,time ▼
509,205,Record the most steps on your pedometers,28,Bob Mortimer,730.0,58,steps ▲
510,205,Record the most steps on your pedometers,29,Josh Widdicombe,1095.0,58,steps ▲
511,205,Record the most steps on your pedometers,30,Katherine Ryan,1263.0,58,steps ▲
512,205,Record the most steps on your pedometers,31,Noel Fielding,627.0,58,steps ▲
513,205,Record the most steps on your pedometers,32,Rob Beckett,820.0,58,steps ▲
514,208,Make the tallest lemon tower,33,Alice Levine,9.0,59,inches ▲
515,208,Make the tallest lemon tower,34,Asim Chaudhry,1.5,59,inches ▲
516,208,Make the tallest lemon tower,35,Liza Tarbuck,8.0,59,inches ▲
517,208,Make the tallest lemon tower,36,Russell Howard,11.0,59,inches ▲
518,208,Make the tallest lemon tower,37,Tim Vine,7.0,59,inches ▲
519,209,Return to the house wearing a hat,33,Alice Levine,90.0,5,difference in seconds ▼
520,209,Return to the house wearing a hat,34,Asim Chaudhry,1260.0,5,difference in seconds ▼
521,209,Return to the house wearing a hat,35,Liza Tarbuck,550.0,5,difference in seconds ▼
522,209,Return to the house wearing a hat,36,Russell Howard,360.0,5,difference in seconds ▼
523,209,Return to the house wearing a hat,37,Tim Vine,1160.0,5,difference in seconds ▼
524,210,Sort the objects by size using your feet,33,Alice Levine,,60,sorted objects ▲
525,210,Sort the objects by size using your feet,34,Asim Chaudhry,2.0,60,sorted objects ▲
526,210,Sort the objects by size using your feet,35,Liza Tarbuck,3.0,60,sorted objects ▲
527,210,Sort the objects by size using your feet,36,Russell Howard,2.0,60,sorted objects ▲
528,210,Sort the objects by size using your feet,37,Tim Vine,,60,sorted objects ▲
529,211,Spin around and kick a football at the caravan,33,Alice Levine,24.0,61,spins ▲
530,211,Spin around and kick a football at the caravan,36,Russell Howard,19.0,61,spins ▲
531,213,Get the highest darts score,33,Alice Levine,13.0,62,darts score ▲
532,213,Get the highest darts score,34,Asim Chaudhry,16.0,62,darts score ▲
533,213,Get the highest darts score,35,Liza Tarbuck,32.0,62,darts score ▲
534,213,Get the highest darts score,36,Russell Howard,3.0,62,darts score ▲
535,213,Get the highest darts score,37,Tim Vine,29.0,62,darts score ▲
536,215,Take a picture of people holding eggs,33,Alice Levine,9.0,63,photographed egg-holders ▲
537,215,Take a picture of people holding eggs,34,Asim Chaudhry,14.0,63,photographed egg-holders ▲
538,215,Take a picture of people holding eggs,35,Liza Tarbuck,85.0,63,photographed egg-holders ▲
539,215,Take a picture of people holding eggs,36,Russell Howard,23.0,63,photographed egg-holders ▲
540,215,Take a picture of people holding eggs,37,Tim Vine,8.0,63,photographed egg-holders ▲
541,217,Conceal grapes in your mouth or hand,33,Alice Levine,0.0,64,deceptions ▲
542,217,Conceal grapes in your mouth or hand,34,Asim Chaudhry,0.0,64,deceptions ▲
543,217,Conceal grapes in your mouth or hand,35,Liza Tarbuck,0.0,64,deceptions ▲
544,217,Conceal grapes in your mouth or hand,36,Russell Howard,1.0,64,deceptions ▲
545,217,Conceal grapes in your mouth or hand,37,Tim Vine,1.0,64,deceptions ▲
546,220,Make something spin for the longest,33,Alice Levine,2.2,35,time ▲
547,220,Make something spin for the longest,34,Asim Chaudhry,359.0,35,time ▲
548,220,Make something spin for the longest,35,Liza Tarbuck,5040.0,35,time ▲
549,220,Make something spin for the longest,36,Russell Howard,10.0,35,time ▲
550,220,Make something spin for the longest,37,Tim Vine,227.0,35,time ▲
551,221,Identify the baby food flavours,33,Alice Levine,2.0,65,guessed flavors ▲
552,221,Identify the baby food flavours,33,Alice Levine,6.0,1,grams ▲
553,221,Identify the baby food flavours,34,Asim Chaudhry,5.0,65,guessed flavors ▲
554,221,Identify the baby food flavours,34,Asim Chaudhry,38.0,1,grams ▲
555,221,Identify the baby food flavours,35,Liza Tarbuck,4.0,65,guessed flavors ▲
556,221,Identify the baby food flavours,35,Liza Tarbuck,33.0,1,grams ▲
557,221,Identify the baby food flavours,36,Russell Howard,3.0,65,guessed flavors ▲
558,221,Identify the baby food flavours,36,Russell Howard,14.0,1,grams ▲
559,221,Identify the baby food flavours,37,Tim Vine,1.0,65,guessed flavors ▲
560,221,Identify the baby food flavours,37,Tim Vine,0.0,1,grams ▲
561,222,Catch the most socks,33,Alice Levine,-3.0,66,caught socks minus touched pants ▲
562,222,Catch the most socks,34,Asim Chaudhry,0.0,66,caught socks minus touched pants ▲
563,222,Catch the most socks,35,Liza Tarbuck,0.0,66,caught socks minus touched pants ▲
564,222,Catch the most socks,36,Russell Howard,2.0,66,caught socks minus touched pants ▲
565,222,Catch the most socks,37,Tim Vine,0.0,66,caught socks minus touched pants ▲
566,228,Remove the banknote from under the glass,33,Alice Levine,,2,time ▼
567,228,Remove the banknote from under the glass,34,Asim Chaudhry,80.0,2,time ▼
568,228,Remove the banknote from under the glass,35,Liza Tarbuck,,2,time ▼
569,228,Remove the banknote from under the glass,36,Russell Howard,79.0,2,time ▼
570,228,Remove the banknote from under the glass,37,Tim Vine,174.0,2,time ▼
571,229,Shake hands with the Taskmaster without revealing your identity,33,Alice Levine,1.0,64,deceptions ▲
572,229,Shake hands with the Taskmaster without revealing your identity,34,Asim Chaudhry,0.0,64,deceptions ▲
573,229,Shake hands with the Taskmaster without revealing your identity,35,Liza Tarbuck,0.0,64,deceptions ▲
574,229,Shake hands with the Taskmaster without revealing your identity,36,Russell Howard,0.0,64,deceptions ▲
575,229,Shake hands with the Taskmaster without revealing your identity,37,Tim Vine,0.0,64,deceptions ▲
576,231,Work out the length of a piece of string,33,Alice Levine,312.42,67,difference in feet ▼
577,231,Work out the length of a piece of string,34,Asim Chaudhry,182.0,67,difference in feet ▼
578,231,Work out the length of a piece of string,35,Liza Tarbuck,20802.0,67,difference in feet ▼
579,231,Work out the length of a piece of string,36,Russell Howard,216.0,67,difference in feet ▼
580,231,Work out the length of a piece of string,37,Tim Vine,10.0,67,difference in feet ▼
581,232,Remove the tablecloth from underneath the eggs,33,Alice Levine,10.0,68,unbroken eggs ▲
582,232,Remove the tablecloth from underneath the eggs,34,Asim Chaudhry,10.0,68,unbroken eggs ▲
583,232,Remove the tablecloth from underneath the eggs,35,Liza Tarbuck,10.0,68,unbroken eggs ▲
584,232,Remove the tablecloth from underneath the eggs,36,Russell Howard,10.0,68,unbroken eggs ▲
585,232,Remove the tablecloth from underneath the eggs,37,Tim Vine,10.0,68,unbroken eggs ▲
586,233,Identify the link and do it 100 times,33,Alice Levine,678.0,2,time ▼
587,233,Identify the link and do it 100 times,34,Asim Chaudhry,514.0,2,time ▼
588,233,Identify the link and do it 100 times,35,Liza Tarbuck,514.0,2,time ▼
589,233,Identify the link and do it 100 times,36,Russell Howard,678.0,2,time ▼
590,233,Identify the link and do it 100 times,37,Tim Vine,514.0,2,time ▼
591,235,Throw eggs onto a shelf,33,Alice Levine,2.0,69,shelved eggs ▲
592,235,Throw eggs onto a shelf,34,Asim Chaudhry,3.0,69,shelved eggs ▲
593,235,Throw eggs onto a shelf,35,Liza Tarbuck,6.0,69,shelved eggs ▲
594,235,Throw eggs onto a shelf,36,Russell Howard,5.0,69,shelved eggs ▲
595,235,Throw eggs onto a shelf,37,Tim Vine,5.0,69,shelved eggs ▲
596,238,Knock over the ducks without leaving the carpet,33,Alice Levine,,70,ducks ▲
597,238,Knock over the ducks without leaving the carpet,34,Asim Chaudhry,78.0,70,ducks ▲
598,238,Knock over the ducks without leaving the carpet,35,Liza Tarbuck,78.0,70,ducks ▲
599,238,Knock over the ducks without leaving the carpet,36,Russell Howard,,70,ducks ▲
600,238,Knock over the ducks without leaving the carpet,37,Tim Vine,78.0,70,ducks ▲
601,241,Predict how many words you can list for a category,33,Alice Levine,5.0,71,correct answers minus misses ▲
602,241,Predict how many words you can list for a category,34,Asim Chaudhry,4.0,71,correct answers minus misses ▲
603,241,Predict how many words you can list for a category,35,Liza Tarbuck,1.0,71,correct answers minus misses ▲
604,241,Predict how many words you can list for a category,36,Russell Howard,3.0,71,correct answers minus misses ▲
605,241,Predict how many words you can list for a category,37,Tim Vine,3.0,71,correct answers minus misses ▲
606,243,Knock the bails off the stumps,33,Alice Levine,,2,time ▼
607,243,Knock the bails off the stumps,34,Asim Chaudhry,,2,time ▼
608,243,Knock the bails off the stumps,35,Liza Tarbuck,,2,time ▼
609,243,Knock the bails off the stumps,36,Russell Howard,21.0,2,time ▼
610,243,Knock the bails off the stumps,37,Tim Vine,148.0,2,time ▼
611,245,List and then mime obscure animals,33,Alice Levine,11.0,72,guessed animals ▲
612,245,List and then mime obscure animals,34,Asim Chaudhry,8.0,72,guessed animals ▲
613,245,List and then mime obscure animals,35,Liza Tarbuck,8.0,72,guessed animals ▲
614,245,List and then mime obscure animals,36,Russell Howard,11.0,72,guessed animals ▲
615,245,List and then mime obscure animals,37,Tim Vine,8.0,72,guessed animals ▲
616,253,Quickly receive a text message,35,Liza Tarbuck,233.0,2,time ▼
617,253,Quickly receive a text message,36,Russell Howard,231.0,2,time ▼
618,255,Make the biggest bubble and burst it with your nose,33,Alice Levine,19.7,59,inches ▲
619,255,Make the biggest bubble and burst it with your nose,34,Asim Chaudhry,4.0,59,inches ▲
620,255,Make the biggest bubble and burst it with your nose,35,Liza Tarbuck,8.0,59,inches ▲
621,255,Make the biggest bubble and burst it with your nose,36,Russell Howard,1.6,59,inches ▲
622,255,Make the biggest bubble and burst it with your nose,37,Tim Vine,3.0,59,inches ▲
623,258,Make a plastic bag as heavy as possible,33,Alice Levine,20.5,27,kilograms ▲
624,258,Make a plastic bag as heavy as possible,34,Asim Chaudhry,16.0,27,kilograms ▲
625,258,Make a plastic bag as heavy as possible,35,Liza Tarbuck,27.0,27,kilograms ▲
626,258,Make a plastic bag as heavy as possible,36,Russell Howard,10.0,27,kilograms ▲
627,258,Make a plastic bag as heavy as possible,37,Tim Vine,,27,kilograms ▲
628,259,Hold the most points above the ground,33,Alice Levine,55.0,73,held points ▲
629,259,Hold the most points above the ground,34,Asim Chaudhry,48.0,73,held points ▲
630,259,Hold the most points above the ground,35,Liza Tarbuck,50.0,73,held points ▲
631,259,Hold the most points above the ground,36,Russell Howard,68.0,73,held points ▲
632,259,Hold the most points above the ground,37,Tim Vine,55.0,73,held points ▲
633,261,Knock over the fewest bowling pins,33,Alice Levine,28.0,74,skittles ▼
634,261,Knock over the fewest bowling pins,34,Asim Chaudhry,28.0,74,skittles ▼
635,261,Knock over the fewest bowling pins,35,Liza Tarbuck,23.0,74,skittles ▼
636,261,Knock over the fewest bowling pins,36,Russell Howard,20.0,74,skittles ▼
637,261,Knock over the fewest bowling pins,37,Tim Vine,33.0,74,skittles ▼
638,262,Blow out a candle from a distance,33,Alice Levine,3.5,4,meters ▲
639,262,Blow out a candle from a distance,34,Asim Chaudhry,29.5,4,meters ▲
640,262,Blow out a candle from a distance,35,Liza Tarbuck,,4,meters ▲
641,262,Blow out a candle from a distance,36,Russell Howard,2.86,4,meters ▲
642,262,Blow out a candle from a distance,37,Tim Vine,13.8,4,meters ▲
643,264,Pick numbers higher and lower than the people next to you,33,Alice Levine,5.0,75,rosettes ▲
644,264,Pick numbers higher and lower than the people next to you,34,Asim Chaudhry,4.0,75,rosettes ▲
645,264,Pick numbers higher and lower than the people next to you,35,Liza Tarbuck,0.0,75,rosettes ▲
646,264,Pick numbers higher and lower than the people next to you,36,Russell Howard,0.0,75,rosettes ▲
647,264,Pick numbers higher and lower than the people next to you,37,Tim Vine,3.0,75,rosettes ▲
648,266,Make the best quick-change outfit,38,James Acaster,5.0,2,time ▼
649,266,Make the best quick-change outfit,39,Jessica Knappett,4.0,2,time ▼
650,266,Make the best quick-change outfit,40,Kerry Godliman,3.6,2,time ▼
651,266,Make the best quick-change outfit,41,Phil Wang,45.0,2,time ▼
652,266,Make the best quick-change outfit,42,Rhod Gilbert,3.8,2,time ▼
653,267,Build the tallest cardboard box tower,38,James Acaster,50.0,10,centimeters ▲
654,267,Build the tallest cardboard box tower,39,Jessica Knappett,260.0,10,centimeters ▲
655,267,Build the tallest cardboard box tower,40,Kerry Godliman,300.0,10,centimeters ▲
656,267,Build the tallest cardboard box tower,41,Phil Wang,75.0,10,centimeters ▲
657,267,Build the tallest cardboard box tower,42,Rhod Gilbert,428.0,10,centimeters ▲
658,268,Work out the perimeter of the caravan in beans,38,James Acaster,265.0,76,difference in baked beans ▼
659,268,Work out the perimeter of the caravan in beans,39,Jessica Knappett,276.0,76,difference in baked beans ▼
660,268,Work out the perimeter of the caravan in beans,40,Kerry Godliman,215.0,76,difference in baked beans ▼
661,268,Work out the perimeter of the caravan in beans,41,Phil Wang,565.0,76,difference in baked beans ▼
662,268,Work out the perimeter of the caravan in beans,42,Rhod Gilbert,310.0,76,difference in baked beans ▼
663,271,Write a ten word story while running,38,James Acaster,20.0,2,time ▼
664,271,Write a ten word story while running,39,Jessica Knappett,24.0,2,time ▼
665,271,Write a ten word story while running,40,Kerry Godliman,44.0,2,time ▼
666,271,Write a ten word story while running,41,Phil Wang,136.0,2,time ▼
667,271,Write a ten word story while running,42,Rhod Gilbert,612.0,2,time ▼
668,275,Build a tower of cans within a hoop,38,James Acaster,1.0,48,cans ▲
669,275,Build a tower of cans within a hoop,39,Jessica Knappett,2.0,48,cans ▲
670,275,Build a tower of cans within a hoop,40,Kerry Godliman,13.0,48,cans ▲
671,275,Build a tower of cans within a hoop,41,Phil Wang,3.0,48,cans ▲
672,275,Build a tower of cans within a hoop,42,Rhod Gilbert,11.0,48,cans ▲
673,276,Guess the number on Alex’s forearm,39,Jessica Knappett,1637.49,77,difference ▼
674,276,Guess the number on Alex’s forearm,40,Kerry Godliman,21.51,77,difference ▼
675,278,Raise Alex’s heart rate,38,James Acaster,80.0,78,beats per minute ▲
676,278,Raise Alex’s heart rate,39,Jessica Knappett,97.0,78,beats per minute ▲
677,278,Raise Alex’s heart rate,40,Kerry Godliman,43.0,78,beats per minute ▲
678,278,Raise Alex’s heart rate,41,Phil Wang,-6.0,78,beats per minute ▲
679,278,Raise Alex’s heart rate,42,Rhod Gilbert,11.0,78,beats per minute ▲
680,280,Get the ball into the hole by striking it,38,James Acaster,6.0,79,strokes ▼
681,280,Get the ball into the hole by striking it,39,Jessica Knappett,12.0,79,strokes ▼
682,280,Get the ball into the hole by striking it,40,Kerry Godliman,7.0,79,strokes ▼
683,280,Get the ball into the hole by striking it,41,Phil Wang,5.0,79,strokes ▼
684,280,Get the ball into the hole by striking it,42,Rhod Gilbert,1.0,79,strokes ▼
685,281,Silently mouth a ten word fact to Greg,38,James Acaster,9.0,80,understood words ▲
686,281,Silently mouth a ten word fact to Greg,39,Jessica Knappett,10.0,80,understood words ▲
687,281,Silently mouth a ten word fact to Greg,40,Kerry Godliman,9.0,80,understood words ▲
688,281,Silently mouth a ten word fact to Greg,41,Phil Wang,4.0,80,understood words ▲
689,281,Silently mouth a ten word fact to Greg,42,Rhod Gilbert,1.0,80,understood words ▲
690,283,Work out what the switch does,38,James Acaster,335.0,2,time ▼
691,283,Work out what the switch does,39,Jessica Knappett,709.0,2,time ▼
692,283,Work out what the switch does,40,Kerry Godliman,566.0,2,time ▼
693,283,Work out what the switch does,41,Phil Wang,650.0,2,time ▼
694,283,Work out what the switch does,42,Rhod Gilbert,,2,time ▼
695,285,Make the scales read exactly 31.770kg,38,James Acaster,344.0,2,time ▼
696,285,Make the scales read exactly 31.770kg,39,Jessica Knappett,961.0,2,time ▼
697,285,Make the scales read exactly 31.770kg,40,Kerry Godliman,493.0,2,time ▼
698,285,Make the scales read exactly 31.770kg,41,Phil Wang,508.0,2,time ▼
699,285,Make the scales read exactly 31.770kg,42,Rhod Gilbert,427.0,2,time ▼
